Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-10,1,1,21.356,NYJ,@,DET,W 48-17,,,0,0,0.0,3,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0%,35,50%,13,41%,
2,2018,2018-09-16,2,2,21.362,NYJ,,MIA,L 12-20,,,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,33,55%,12,48%,
3,2018,2018-09-20,3,3,22.001,NYJ,@,CLE,L 17-21,,,0,0,0.0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,31,40%,13,43%,
4,2018,2018-09-30,,4,,NYJ,@,JAX,L 12-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2018,2018-10-07,5,5,22.018,NYJ,,DEN,W 34-16,,,0,0,0.0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,28,36%,18,56%,
6,2018,2018-10-14,6,6,22.025,NYJ,,IND,W 42-34,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,38%,19,53%,
7,2018,2018-10-21,7,7,22.032,NYJ,,MIN,L 17-37,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,21,30%,19,49%,
8,2018,2018-10-28,8,8,22.039,NYJ,@,CHI,L 10-24,,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,9,14%,15,54%,
9,2018,2018-11-04,,9,,NYJ,@,MIA,L 6-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2018,2018-11-11,10,10,22.053,NYJ,,BUF,L 10-41,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,29%,15,48%,
11,2018,2018-11-25,11,12,22.067,NYJ,,NWE,L 13-27,,,0,0,0.0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,47,67%,6,22%,
12,2018,2018-12-02,12,13,22.074,NYJ,@,TEN,L 22-26,,,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,62%,6,16%,
