Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,22.200,CAR,,LVR,L 30-34,*,0,0,,0,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,8,28%,
2,2020,2020-09-20,2,2,22.207,CAR,@,TAM,L 17-31,*,1,1,1.00,0,0,0,0.0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,98%,9,36%,
3,2020,2020-09-27,3,3,22.214,CAR,@,LAC,W 21-16,*,0,0,,0,0,0,0.0,6,6,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,78,100%,7,27%,
4,2020,2020-10-04,4,4,22.221,CAR,,ARI,W 31-21,*,0,0,,0,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,89%,2,8%,
5,2020,2020-10-11,5,5,22.228,CAR,@,ATL,W 23-16,*,0,0,,0,0,0,0.0,5,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,64,98%,5,19%,
6,2020,2020-10-18,6,6,22.235,CAR,,CHI,L 16-23,*,0,0,,0,0,0,0.0,4,1,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0%,63,95%,7,27%,
7,2020,2020-10-25,7,7,22.242,CAR,@,NOR,L 24-27,*,0,0,,0,0,0,0.0,4,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,94%,6,27%,
8,2020,2020-10-29,8,8,22.246,CAR,,ATL,L 17-25,*,1,28,28.00,0,0,0,0.0,6,4,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,66,94%,10,42%,
9,2020,2020-11-08,9,9,,CAR,@,KAN,L 31-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2020,2020-11-15,10,10,22.263,CAR,,TAM,L 23-46,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,90%,14,44%,
11,2020,2020-11-22,11,11,22.270,CAR,,DET,W 20-0,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,8,35%,
12,2020,2020-11-29,12,12,22.277,CAR,@,MIN,L 27-28,*,0,0,,0,2,12,0.0,7,6,13,0,1,0,0,0,0,0,0,1,2,45,2,0,0%,73,100%,6,21%,
13,2020,2020-12-13,13,14,22.291,CAR,,DEN,L 27-32,*,0,0,,0,0,0,1.0,7,1,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,61,100%,6,20%,
14,2020,2020-12-19,14,15,22.297,CAR,@,GNB,L 16-24,*,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,4,14%,
15,2020,2020-12-27,15,16,22.305,CAR,@,WAS,W 20-13,*,0,0,,0,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,5,23%,
16,2020,2021-01-03,16,17,22.312,CAR,,NOR,L 7-33,*,0,0,,0,0,0,0.0,1,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,61,95%,7,30%,
17,2021,2021-09-12,1,1,23.198,CAR,,NYJ,W 19-14,*,0,0,,0,0,0,0.0,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,64,98%,2,7%,
18,2021,2021-09-19,2,2,23.205,CAR,,NOR,W 26-7,*,0,0,,0,0,0,0.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,100%,2,8%,
