Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,23.310,WAS,,LAC,L 16-20,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,2,4%,0,0%,10,44%,
2,2021,2021-09-16,2,2,23.314,WAS,,NYG,W 30-29,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,1,1%,0,0%,15,43%,
3,2021,2021-09-26,3,3,23.324,WAS,@,BUF,L 21-43,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,11,38%,
4,2021,2021-10-03,4,4,23.331,WAS,@,ATL,W 34-30,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,16,24%,0,0%,10,37%,
5,2021,2021-10-10,5,5,23.338,WAS,,NOR,L 22-33,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,17,20%,0,0%,9,31%,
6,2021,2021-10-17,6,6,23.345,WAS,,KAN,L 13-31,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,22%,0,0%,10,40%,
7,2021,2021-10-24,7,7,23.352,WAS,@,GNB,L 10-24,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,11,15%,0,0%,8,42%,
8,2021,2021-10-31,8,8,23.359,WAS,@,DEN,L 10-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,21%,0,0%,8,42%,
9,2021,2021-11-14,9,10,24.008,WAS,,TAM,W 29-19,,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,9,36%,
10,2021,2021-11-21,10,11,24.015,WAS,@,CAR,W 27-21,*,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,99%,0,0%,5,19%,
11,2021,2021-11-29,11,12,24.023,WAS,,SEA,W 17-15,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,48,57%,0,0%,4,17%,
12,2021,2021-12-05,12,13,24.029,WAS,@,LVR,W 17-15,*,4,3,42,14.00,0,75.0%,10.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,38,57%,0,0%,7,30%,
13,2021,2021-12-12,13,14,24.036,WAS,,DAL,L 20-27,*,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,71%,0,0%,15,50%,
14,2021,2021-12-21,14,15,24.045,WAS,@,PHI,L 17-27,*,1,1,29,29.00,0,100.0%,29.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,62%,0,0%,3,12%,
15,2021,2021-12-26,15,16,24.050,WAS,@,DAL,L 14-56,*,3,2,45,22.50,1,66.7%,15.00,0,0,,0,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,45,75%,0,0%,2,6%,
16,2021,2022-01-02,16,17,24.057,WAS,,PHI,L 16-20,*,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,92%,0,0%,4,18%,
17,2021,2022-01-09,17,18,24.064,WAS,@,NYG,W 22-7,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,4,17%,
18,2022,2022-09-11,1,1,24.309,WAS,,JAX,W 28-22,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,55%,0,0%,2,8%,
19,2022,2022-09-18,2,2,24.316,WAS,@,DET,L 27-36,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,32%,0,0%,2,6%,
20,2022,2022-09-25,3,3,24.323,WAS,,PHI,L 8-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,26%,0,0%,2,8%,
21,2022,2022-10-02,4,4,24.330,WAS,@,DAL,L 10-25,*,6,4,19,4.75,0,66.7%,3.17,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,30,41%,0,0%,2,7%,
22,2022,2022-10-09,5,5,24.337,WAS,,TEN,L 17-21,*,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,59%,0,0%,3,11%,
23,2022,2022-10-13,6,6,,WAS,@,CHI,W 12-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2022,2022-10-23,7,7,24.351,WAS,,GNB,W 23-21,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,23,31%,0,0%,7,24%,
25,2022,2022-10-30,8,8,24.358,WAS,@,IND,W 17-16,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,33%,0,0%,3,12%,
26,2022,2022-11-06,9,9,25.000,WAS,,MIN,L 17-20,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,39%,0,0%,3,11%,
27,2022,2022-11-14,10,10,25.008,WAS,@,PHI,W 32-21,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,41,49%,0,0%,6,23%,
28,2022,2022-11-20,11,11,25.014,WAS,@,HOU,W 23-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,51%,0,0%,5,19%,
29,2022,2022-11-27,12,12,25.021,WAS,,ATL,W 19-13,*,4,3,24,8.00,1,75.0%,6.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,58%,0,0%,4,17%,
30,2022,2022-12-04,13,13,25.028,WAS,@,NYG,T 20-20,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,45,53%,0,0%,6,18%,
31,2022,2022-12-18,14,15,25.042,WAS,,NYG,L 12-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,57%,0,0%,3,12%,
32,2022,2022-12-24,15,16,25.048,WAS,@,SFO,L 20-37,*,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,27,37%,0,0%,2,7%,
33,2022,2023-01-01,16,17,25.056,WAS,,CLE,L 10-24,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,30,43%,0,0%,7,33%,
34,2022,2023-01-08,17,18,25.063,WAS,,DAL,W 26-6,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,39,59%,0,0%,8,24%,
35,2023,2023-09-10,1,1,25.308,WAS,,ARI,W 20-16,*,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,26,37%,0,0%,9,32%,
36,2023,2023-09-17,2,2,25.315,WAS,@,DEN,W 35-33,,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,52%,0,0%,13,43%,
37,2023,2023-09-24,3,3,25.322,WAS,,BUF,L 3-37,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,57%,0,0%,1,5%,
38,2023,2023-10-01,4,4,25.329,WAS,@,PHI,L 31-34,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,35%,0,0%,12,39%,
39,2023,2023-10-05,5,5,25.333,WAS,,CHI,L 20-40,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,20%,0,0%,12,40%,
40,2023,2023-10-15,6,6,25.343,WAS,@,ATL,W 24-16,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,20,39%,0,0%,8,33%,
41,2023,2023-10-22,7,7,25.350,WAS,@,NYG,L 7-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,59%,0,0%,5,17%,
42,2023,2023-10-29,8,8,25.357,WAS,,PHI,L 31-38,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,47%,0,0%,12,43%,
43,2023,2023-11-05,9,9,25.364,WAS,@,NWE,W 20-17,*,2,1,-5,-5.00,0,50.0%,-2.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,47%,0,0%,8,29%,
44,2023,2023-11-12,10,10,26.006,WAS,@,SEA,L 26-29,,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,25,41%,0,0%,13,37%,
45,2023,2023-11-19,11,11,26.013,WAS,,NYG,L 19-31,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,58%,0,0%,12,41%,
46,2023,2023-11-23,12,12,26.017,WAS,@,DAL,L 10-45,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,30,38%,0,0%,13,52%,
47,2023,2023-12-03,13,13,26.027,WAS,,MIA,L 15-45,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,45%,0,0%,15,54%,
48,2023,2023-12-17,14,15,26.041,WAS,@,LAR,L 20-28,*,1,0,0,,0,0.0%,0.00,1,10,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,40%,0,0%,9,33%,
49,2023,2023-12-24,15,16,26.048,WAS,@,NYJ,L 28-30,,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,43%,0,0%,11,31%,
50,2023,2023-12-31,16,17,26.055,WAS,,SFO,L 10-27,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,25,54%,0,0%,11,52%,
51,2023,2024-01-07,17,18,26.062,WAS,,DAL,L 10-38,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,61%,0,0%,9,41%,
52,2024,2024-09-08,1,1,26.307,WAS,@,TAM,L 20-37,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,47%,0,0%,15,56%,
53,2024,2024-09-15,2,2,26.314,WAS,,NYG,W 21-18,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,35%,0,0%,11,52%,
