Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.159,WAS,@,TAM,L 20-37,,3.0,3.0,18.0,6.0,0.0,100.0%,6.0,36.0,61%,0.0,0%,0.0,0%
2.0,2024.0,2024-09-15,2.0,2.0,23.166,WAS,,NYG,W 21-18,*,,,,,,0.0%,,40.0,56%,0.0,0%,0.0,0%
3.0,2024.0,2024-09-23,3.0,3.0,23.174,WAS,@,CIN,W 38-33,,3.0,3.0,44.0,14.67,0.0,100.0%,14.67,20.0,34%,0.0,0%,0.0,0%
4.0,2024.0,2024-09-29,4.0,4.0,23.18,WAS,@,ARI,W 42-14,,1.0,1.0,17.0,17.0,0.0,100.0%,17.0,32.0,44%,0.0,0%,0.0,0%
5.0,2024.0,2024-10-06,5.0,5.0,23.187,WAS,,CLE,W 34-13,*,3.0,3.0,19.0,6.33,0.0,100.0%,6.33,44.0,66%,0.0,0%,1.0,3%
6.0,2024.0,2024-10-13,6.0,6.0,23.194,WAS,@,BAL,L 23-30,*,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,22.0,37%,0.0,0%,0.0,0%
7.0,2024.0,2024-10-20,7.0,7.0,23.201,WAS,,CAR,W 40-7,,,,,,,0.0%,,26.0,38%,0.0,0%,0.0,0%
8.0,2024.0,2024-10-27,8.0,8.0,23.208,WAS,,CHI,W 18-15,*,2.0,1.0,8.0,8.0,0.0,50.0%,4.0,25.0,34%,0.0,0%,0.0,0%
9.0,2024.0,2024-11-03,9.0,9.0,23.215,WAS,@,NYG,W 27-22,,,,,,,0.0%,,23.0,37%,0.0,0%,0.0,0%
10.0,2024.0,2024-11-10,10.0,10.0,23.222,WAS,,PIT,L 27-28,,3.0,1.0,23.0,23.0,0.0,33.3%,7.67,26.0,41%,0.0,0%,5.0,16%
11.0,2024.0,2024-11-14,11.0,11.0,23.226,WAS,@,PHI,L 18-26,,1.0,0.0,0.0,,0.0,0.0%,0.0,20.0,30%,0.0,0%,2.0,7%
