Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-11,1,1,21.115,NOR,@,MIN,L 19-29,*,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,94%,0,0%,
2,2017,2017-09-17,2,2,21.121,NOR,,NWE,L 20-36,*,0,0,0.0,6,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,62,82%,6,19%,
3,2017,2017-09-24,,3,,NOR,@,CAR,W 34-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2017,2017-10-01,4,4,21.135,NOR,@,MIA,W 20-0,*,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,51,98%,0,0%,
5,2017,2017-10-15,5,6,21.149,NOR,,DET,W 52-38,*,1,6,0.0,1,4,5,0,0,1,27,1,2,0,0,0,1,0,0,0,0%,79,98%,9,20%,
6,2017,2017-10-22,6,7,21.156,NOR,@,GNB,W 26-17,*,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,55,100%,5,19%,
7,2017,2017-10-29,7,8,21.163,NOR,,CHI,W 20-12,*,0,0,0.0,3,0,3,0,0,1,25,0,2,0,0,0,0,0,0,0,0%,67,100%,5,19%,
8,2017,2017-11-05,8,9,21.170,NOR,,TAM,W 30-10,*,0,0,0.0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,100%,9,33%,
9,2017,2017-11-12,9,10,21.177,NOR,@,BUF,W 47-10,*,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,77%,2,7%,
10,2017,2017-11-19,10,11,21.184,NOR,,WAS,W 34-31,*,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,6,9%,0,0%,
11,2017,2017-11-26,,12,,NOR,@,LAR,L 20-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2017,2017-12-03,,13,,NOR,,CAR,W 31-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2017,2017-12-07,13,14,21.202,NOR,@,ATL,L 17-20,*,0,0,0.0,2,1,3,0,0,1,33,0,1,0,0,0,0,0,0,0,0%,62,84%,3,12%,
14,2017,2017-12-17,14,15,21.212,NOR,,NYJ,W 31-19,*,0,0,0.0,3,2,5,1,0,1,0,0,3,0,0,0,0,0,0,0,0%,70,97%,3,10%,
15,2017,2017-12-24,15,16,21.219,NOR,,ATL,W 23-13,*,0,0,0.0,4,1,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0%,64,100%,3,10%,
16,2017,2017-12-31,16,17,21.226,NOR,@,TAM,L 24-31,*,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,78,94%,4,15%,
17,2018,2018-09-09,1,1,22.113,NOR,,TAM,L 40-48,*,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,98%,10,30%,
18,2018,2018-09-16,2,2,22.120,NOR,,CLE,W 21-18,*,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,61,98%,6,22%,
19,2018,2018-09-23,3,3,22.127,NOR,@,ATL,W 43-37,*,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,4,11%,
20,2018,2018-09-30,4,4,22.134,NOR,@,NYG,W 33-18,*,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,1,37,0,0,0%,62,100%,2,7%,
21,2018,2018-10-08,5,5,22.142,NOR,,WAS,W 43-19,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,10%,0,0%,
22,2018,2018-10-21,6,7,22.155,NOR,@,BAL,W 24-23,*,0,0,0.0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,68,100%,0,0%,
