Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.005,MIA,,BAL,L 10-59,*,,,,,,0.0%,,49,100%,0,0%,2,6%,
2,2019,2019-09-15,2,2,23.012,MIA,,NWE,L 0-43,*,,,,,,0.0%,,62,100%,0,0%,0,0%,
3,2019,2019-09-22,3,3,23.019,MIA,@,DAL,L 6-31,*,0,0,0,,0,0.0%,,70,100%,0,0%,3,11%,
4,2019,2019-09-29,4,4,23.026,MIA,,LAC,L 10-30,*,,,,,,0.0%,,52,100%,0,0%,4,17%,
5,2019,2019-10-13,5,6,23.040,MIA,,WAS,L 16-17,*,,,,,,0.0%,,75,100%,0,0%,2,7%,
6,2019,2019-10-20,6,7,23.047,MIA,@,BUF,L 21-31,*,,,,,,0.0%,,72,100%,0,0%,4,15%,
7,2019,2019-10-28,7,8,23.055,MIA,@,PIT,L 14-27,*,1,1,0,0.00,0,100.0%,0.00,57,100%,0,0%,2,9%,
8,2019,2019-11-03,8,9,23.061,MIA,,NYJ,W 26-18,*,,,,,,0.0%,,69,100%,0,0%,5,17%,
9,2019,2019-11-10,9,10,23.068,MIA,@,IND,W 16-12,*,0,0,0,,0,0.0%,,65,100%,0,0%,4,15%,
10,2019,2019-11-17,10,11,23.075,MIA,,BUF,L 20-37,*,,,,,,0.0%,,70,100%,0,0%,2,6%,
11,2019,2019-11-24,11,12,23.082,MIA,@,CLE,L 24-41,*,,,,,,0.0%,,63,100%,0,0%,4,13%,
12,2019,2019-12-01,12,13,23.089,MIA,,PHI,W 37-31,*,,,,,,0.0%,,71,100%,0,0%,5,16%,
13,2019,2019-12-08,13,14,23.096,MIA,@,NYJ,L 21-22,,,,,,,0.0%,,9,13%,0,0%,8,27%,
