Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.341,WAS,@,TAM,L 20-37,*,0.0,5,1,6,0,0,0,0,0,0,0.0,0%,61.0,95%,0.0,0%
2.0,2024.0,2024-09-15,2.0,2.0,23.348,WAS,,NYG,W 21-18,,0.0,2,2,4,0,0,0,0,0,0,0.0,0%,39.0,70%,2.0,10%
3.0,2024.0,2024-09-23,3.0,3.0,23.356,WAS,@,CIN,W 38-33,*,0.0,5,1,6,0,0,0,0,0,1,0.0,0%,62.0,100%,0.0,0%
4.0,2024.0,2024-09-29,4.0,4.0,23.362,WAS,@,ARI,W 42-14,*,0.0,2,0,2,0,0,0,0,0,0,0.0,0%,49.0,83%,2.0,9%
5.0,2024.0,2024-10-06,5.0,5.0,24.003,WAS,,CLE,W 34-13,*,0.0,4,0,4,0,0,0,0,0,1,0.0,0%,56.0,90%,8.0,26%
6.0,2024.0,2024-10-13,6.0,6.0,24.01,WAS,@,BAL,L 23-30,*,0.0,4,2,6,0,0,1,38,0,1,0.0,0%,47.0,69%,0.0,0%
7.0,2024.0,2024-10-20,7.0,7.0,24.017,WAS,,CAR,W 40-7,*,0.0,6,1,7,1,0,0,0,0,1,0.0,0%,34.0,79%,8.0,31%
8.0,2024.0,2024-10-27,8.0,8.0,24.024,WAS,,CHI,W 18-15,*,0.0,3,2,5,0,0,0,0,0,1,0.0,0%,59.0,94%,4.0,15%
9.0,2024.0,2024-11-03,9.0,9.0,24.031,WAS,@,NYG,W 27-22,*,0.0,4,0,4,0,0,0,0,0,0,0.0,0%,62.0,95%,2.0,9%
10.0,2024.0,2024-11-10,10.0,10.0,24.038,WAS,,PIT,L 27-28,*,0.0,3,2,5,0,0,0,0,0,1,0.0,0%,60.0,77%,3.0,9%
11.0,2024.0,2024-11-14,11.0,11.0,24.042,WAS,@,PHI,L 18-26,*,0.0,3,3,6,0,0,0,0,0,2,0.0,0%,71.0,100%,1.0,4%
