Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,22.208,WAS,,LAC,L 16-20,*,,,,,,,55,100%,0,0%,5,22%,
2,2021,2021-09-16,2,2,22.212,WAS,,NYG,W 30-29,*,,,,,,,71,100%,0,0%,7,20%,
3,2021,2021-09-26,3,3,22.222,WAS,@,BUF,L 21-43,*,,,,,,,54,100%,0,0%,3,10%,
4,2021,2021-10-03,4,4,22.229,WAS,@,ATL,W 34-30,*,,,,,,,67,100%,0,0%,4,15%,
5,2021,2021-10-10,5,5,22.236,WAS,,NOR,L 22-33,*,,,,,,,25,30%,0,0%,2,7%,
6,2021,2021-10-17,6,6,,WAS,,KAN,L 13-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2021,2021-10-24,7,7,,WAS,@,GNB,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2021,2021-10-31,8,8,,WAS,@,DEN,L 10-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2021,2021-11-14,9,10,,WAS,,TAM,W 29-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2021,2021-11-21,10,11,22.278,WAS,@,CAR,W 27-21,*,,,,,,,28,42%,0,0%,0,0%,
11,2021,2021-11-29,11,12,,WAS,,SEA,W 17-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2021,2021-12-05,12,13,,WAS,@,LVR,W 17-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2021,2021-12-12,13,14,,WAS,,DAL,L 20-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2021,2021-12-21,14,15,22.308,WAS,@,PHI,L 17-27,*,0,0,0,1,0,0,55,100%,0,0%,3,12%,
15,2021,2021-12-26,15,16,22.313,WAS,@,DAL,L 14-56,*,,,,,,,60,100%,0,0%,2,6%,
16,2021,2022-01-02,16,17,,WAS,,PHI,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2021,2022-01-09,17,18,22.327,WAS,@,NYG,W 22-7,*,,,,,,,59,100%,0,0%,4,17%,
18,2022,2022-09-11,1,1,23.207,WAS,,JAX,W 28-22,*,,,,,,,77,100%,0,0%,2,8%,
19,2022,2022-09-18,2,2,23.214,WAS,@,DET,L 27-36,*,,,,,,,74,100%,0,0%,2,6%,
20,2022,2022-09-25,3,3,23.221,WAS,,PHI,L 8-24,*,,,,,,,66,86%,0,0%,1,4%,
21,2022,2022-10-02,4,4,23.228,WAS,@,DAL,L 10-25,*,,,,,,,74,100%,0,0%,2,7%,
22,2022,2022-10-09,5,5,,WAS,,TEN,L 17-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2022,2022-10-13,6,6,,WAS,@,CHI,W 12-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2022,2022-10-23,7,7,,WAS,,GNB,W 23-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2022,2022-10-30,8,8,23.256,WAS,@,IND,W 17-16,,,,,,,,0,0%,0,0%,3,12%,
26,2022,2022-11-06,9,9,23.263,WAS,,MIN,L 17-20,,,,,,,,0,0%,0,0%,3,11%,
27,2022,2022-11-14,10,10,23.271,WAS,@,PHI,W 32-21,,,,,,,,41,49%,0,0%,6,23%,
28,2022,2022-11-20,11,11,23.277,WAS,@,HOU,W 23-10,,,,,,,,30,44%,0,0%,5,19%,
29,2022,2022-11-27,12,12,23.284,WAS,,ATL,W 19-13,,,,,,,,36,58%,0,0%,4,17%,
