Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2013,2013-09-09,1,1,22.303,PHI,@,WAS,W 33-27,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,24,30%,0,0%,11,35%,
2,2013,2013-09-15,2,2,22.309,PHI,,SDG,L 30-33,,2,2,58,29.00,0,100.0%,29.00,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,12,20%,0,0%,16,47%,
3,2013,2013-09-19,3,3,22.313,PHI,,KAN,L 16-26,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,14,22%,0,0%,11,35%,
4,2013,2013-09-29,4,4,22.323,PHI,@,DEN,L 20-52,*,2,1,38,38.00,0,50.0%,19.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,44%,0,0%,14,41%,
5,2013,2013-10-06,5,5,22.330,PHI,@,NYG,W 36-21,,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,33,41%,0,0%,12,32%,
6,2013,2013-10-13,6,6,22.337,PHI,@,TAM,W 31-20,,6,3,13,4.33,0,50.0%,2.17,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,62%,0,0%,10,33%,
7,2013,2013-10-20,7,7,22.344,PHI,,DAL,L 3-17,,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,23,29%,0,0%,10,34%,
8,2013,2013-10-27,8,8,22.351,PHI,,NYG,L 7-15,,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,27,44%,0,0%,7,27%,
9,2013,2013-11-03,9,9,22.358,PHI,@,OAK,W 49-20,,6,5,42,8.40,1,83.3%,7.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,35,59%,0,0%,12,31%,
10,2013,2013-11-10,10,10,23.000,PHI,@,GNB,W 27-13,,,,,,,0.0%,,,,,,,,,,,0,0,0,,,0,0,0,33,54%,0,0%,11,44%,
