Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,28.180,DAL,@,NYG,W 40-0,,4,5,80.0,2,2,100.0,0,10,0,0%,0,0%,15,63%
2,2023,2023-09-17,2,2,28.187,DAL,,NYJ,W 30-10,,1,1,100.0,5,5,100.0,0,16,0,0%,0,0%,14,50%
3,2023,2023-09-24,3,3,28.194,DAL,@,ARI,L 16-28,,1,1,100.0,3,3,100.0,0,10,0,0%,0,0%,9,36%
4,2023,2023-10-01,4,4,28.201,DAL,,NWE,W 38-3,,3,3,100.0,3,3,100.0,0,12,0,0%,0,0%,15,58%
5,2023,2023-10-08,5,5,28.208,DAL,@,SFO,L 10-42,,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,19%
6,2023,2023-10-16,6,6,28.216,DAL,@,LAC,W 20-17,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,8,32%
7,2023,2023-10-29,7,8,28.229,DAL,,LAR,W 43-20,,5,5,100.0,2,2,100.0,0,11,0,0%,0,0%,15,50%
8,2023,2023-11-05,8,9,28.236,DAL,@,PHI,L 23-28,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,8,33%
9,2023,2023-11-12,9,10,28.243,DAL,,NYG,W 49-17,,7,7,100.0,,,,0,7,0,0%,0,0%,15,49%
10,2023,2023-11-19,10,11,28.250,DAL,@,CAR,W 33-10,,3,4,75.0,2,2,100.0,0,9,0,0%,0,0%,13,48%
11,2023,2023-11-23,11,12,28.254,DAL,,WAS,W 45-10,,4,5,80.0,1,1,100.0,0,7,0,0%,0,0%,14,56%
12,2023,2023-11-30,12,13,28.261,DAL,,SEA,W 41-35,,3,3,100.0,4,4,100.0,0,15,0,0%,0,0%,16,57%
13,2023,2023-12-10,13,14,28.271,DAL,,PHI,W 33-13,,3,3,100.0,4,4,100.0,0,15,0,0%,0,0%,15,60%
14,2023,2023-12-17,14,15,28.278,DAL,@,BUF,L 10-31,,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,21%
15,2023,2023-12-24,15,16,28.285,DAL,@,MIA,L 20-22,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,9,35%
16,2023,2023-12-30,16,17,28.291,DAL,,DET,W 20-19,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,9,35%
17,2023,2024-01-07,17,18,28.299,DAL,@,WAS,W 38-10,,5,5,100.0,1,3,33.3,0,8,0,0%,0,0%,15,68%
18,2024,2024-09-08,1,1,29.178,DAL,@,CLE,W 33-17,,3,3,100.0,4,4,100.0,0,15,0,0%,0,0%,15,42%
19,2024,2024-09-15,2,2,29.185,DAL,,NOR,L 19-44,,1,1,100.0,4,4,100.0,0,13,0,0%,0,0%,10,37%
20,2024,2024-09-22,3,3,29.192,DAL,,BAL,L 25-28,,1,1,100.0,2,2,100.0,0,7,0,0%,0,0%,9,32%
21,2024,2024-09-26,4,4,29.196,DAL,@,NYG,W 20-15,,2,2,100.0,2,3,66.7,0,8,0,0%,0,0%,10,40%
22,2024,2024-10-06,5,5,29.206,DAL,@,PIT,W 20-17,,2,2,100.0,2,3,66.7,0,8,0,0%,0,0%,11,46%
23,2024,2024-10-13,6,6,29.213,DAL,,DET,L 9-47,,,,,3,3,100.0,0,9,0,0%,0,0%,7,25%
24,2024,2024-10-27,7,8,29.227,DAL,@,SFO,L 24-30,,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,9,30%
25,2024,2024-11-03,8,9,29.234,DAL,@,ATL,L 21-27,,1,1,100.0,2,2,100.0,0,7,0,0%,0,0%,8,31%
26,2024,2024-11-10,9,10,29.241,DAL,,PHI,L 6-34,,,,,2,2,100.0,0,6,0,0%,0,0%,5,18%
27,2024,2024-11-18,10,11,29.249,DAL,,HOU,L 10-34,,1,1,100.0,1,2,50.0,0,4,0,0%,0,0%,7,26%
