Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,22.073,CIN,,BAL,L 0-20,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,22,33%,10,48%,
2,2017,2017-09-14,2,2,22.077,CIN,,HOU,L 9-13,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0%,17,26%,11,37%,
3,2017,2017-09-24,3,3,22.087,CIN,@,GNB,L 24-27,,2.5,3,1,4,2,3,0,0,0,0,0,0,0,0%,54,77%,16,48%,
4,2017,2017-10-01,4,4,22.094,CIN,@,CLE,W 31-7,*,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0%,40,62%,7,28%,
5,2017,2017-10-08,5,5,22.101,CIN,,BUF,W 20-16,,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0%,26,37%,9,31%,
6,2017,2017-10-22,6,7,22.115,CIN,@,PIT,L 14-29,,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0%,16,23%,14,52%,
7,2017,2017-10-29,7,8,22.122,CIN,,IND,W 24-23,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0%,41,55%,10,34%,
8,2017,2017-11-05,8,9,22.129,CIN,@,JAX,L 7-23,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0%,16,20%,11,46%,
9,2017,2017-11-12,9,10,22.136,CIN,@,TEN,L 20-24,,1.0,1,0,1,1,3,0,0,0,0,0,0,0,0%,43,48%,12,41%,
10,2017,2017-11-19,10,11,22.143,CIN,@,DEN,W 20-17,,0.5,0,1,1,0,2,0,0,0,0,0,0,0,0%,32,39%,8,29%,
11,2017,2017-11-26,11,12,22.150,CIN,,CLE,W 30-16,,1.5,1,1,2,1,2,0,0,0,0,0,0,0,0%,33,47%,10,37%,
12,2017,2017-12-04,12,13,22.158,CIN,,PIT,L 20-23,,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0%,24,36%,9,33%,
13,2017,2017-12-10,13,14,22.164,CIN,,CHI,L 7-33,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,19,25%,13,54%,
14,2017,2017-12-17,14,15,22.171,CIN,@,MIN,L 7-34,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,19,29%,6,21%,
15,2017,2017-12-24,15,16,22.178,CIN,,DET,W 26-17,,1.0,1,2,3,1,2,0,0,0,0,0,0,0,0%,43,70%,4,13%,
16,2017,2017-12-31,16,17,22.185,CIN,@,BAL,W 31-27,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,32,42%,5,13%,
17,2018,2018-09-09,1,1,23.072,CIN,@,IND,W 34-23,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0%,42,51%,6,21%,
18,2018,2018-09-13,2,2,23.076,CIN,,BAL,W 34-23,,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0%,53,62%,0,0%,
19,2018,2018-09-23,3,3,23.086,CIN,@,CAR,L 21-31,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0%,20,30%,0,0%,
20,2018,2018-09-30,4,4,23.093,CIN,@,ATL,W 37-36,,1.0,1,0,1,1,3,0,0,0,0,0,0,0,0%,32,46%,0,0%,
21,2018,2018-10-07,5,5,23.100,CIN,,MIA,W 27-17,,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0%,31,48%,0,0%,
22,2018,2018-10-14,6,6,23.107,CIN,,PIT,L 21-28,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,22,30%,0,0%,
23,2018,2018-10-21,7,7,23.114,CIN,@,KAN,L 10-45,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,25,36%,0,0%,
