Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-09,1,1,,DAL,@,TAM,L 29-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2021,2021-09-19,2,2,,DAL,@,LAC,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2021,2021-09-27,3,3,23.229,DAL,,PHI,W 41-21,,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,52%,6,20%,
4,2021,2021-10-03,4,4,23.235,DAL,,CAR,W 36-28,,,0,0,0.5,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,70%,3,10%,
5,2021,2021-10-10,5,5,23.242,DAL,,NYG,W 44-20,,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,59%,2,7%,
6,2021,2021-10-17,6,6,23.249,DAL,@,NWE,W 35-29,,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,1,6,0,0,0%,32,59%,4,14%,
7,2021,2021-10-31,7,8,23.263,DAL,@,MIN,W 20-16,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,33%,17,57%,
8,2021,2021-11-07,8,9,23.270,DAL,,DEN,L 16-30,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,38%,7,30%,
9,2021,2021-11-14,9,10,23.277,DAL,,ATL,W 43-3,,,0,0,0.0,1,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,31,57%,3,12%,
10,2021,2021-11-21,10,11,23.284,DAL,@,KAN,L 9-19,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,24%,6,22%,
11,2021,2021-11-25,11,12,23.288,DAL,,LVR,L 33-36,,,0,0,0.0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,32,37%,13,31%,
12,2021,2021-12-02,12,13,23.295,DAL,@,NOR,W 27-17,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,60%,7,22%,
13,2021,2021-12-12,13,14,23.305,DAL,@,WAS,W 27-20,,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,27%,8,27%,
14,2021,2021-12-19,14,15,23.312,DAL,@,NYG,W 21-6,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,22%,6,29%,
15,2021,2021-12-26,15,16,23.319,DAL,,WAS,W 56-14,,,1,0,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,21,35%,22,67%,
16,2021,2022-01-02,16,17,23.326,DAL,,ARI,L 22-25,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,18,69%,
17,2021,2022-01-08,17,18,23.332,DAL,@,PHI,W 51-26,,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,45%,14,45%,
18,2022,2022-09-11,1,1,24.213,DAL,,TAM,L 3-19,,,0,0,,,,,,,,,,,,,,,,,0,0%,15,24%,7,29%,
19,2022,2022-09-18,2,2,24.220,DAL,,CIN,W 20-17,,,0,0,,,,,,,,,,,,,,,,,0,0%,17,24%,9,35%,
20,2022,2022-09-26,3,3,24.228,DAL,@,NYG,W 23-16,,,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,11,15%,12,41%,
21,2022,2022-10-02,4,4,24.234,DAL,,WAS,W 25-10,,,0,0,,,,,,,,,,,,,,,,,0,0%,13,18%,10,33%,
22,2022,2022-10-09,5,5,24.241,DAL,@,LAR,W 22-10,,,0,0,,,,,,,,,,,,,,,,,0,0%,16,25%,9,30%,
23,2022,2022-10-16,6,6,24.248,DAL,@,PHI,L 17-26,,,0,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,28,39%,8,33%,
