Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,,1,,DAL,,NYG,W 35-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2019,2019-09-15,,2,,DAL,@,WAS,W 31-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2019,2019-09-22,3,3,24.213,DAL,,MIA,W 31-6,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,10,36%,
4,2019,2019-09-29,,4,,DAL,@,NOR,L 10-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2019,2019-10-06,5,5,24.227,DAL,,GNB,L 24-34,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,12,35%,
6,2019,2019-10-13,6,6,24.234,DAL,@,NYJ,L 22-24,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,14,54%,
7,2019,2019-10-20,7,7,24.241,DAL,,PHI,W 37-10,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,12,48%,
8,2019,2019-11-04,8,9,24.256,DAL,@,NYG,W 37-18,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,15,48%,
9,2019,2019-11-10,9,10,24.262,DAL,,MIN,L 24-28,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,52%,
10,2019,2019-11-17,10,11,24.269,DAL,@,DET,W 35-27,,,,,,,,,,,,0,,,0,0,0,0,0%,1,2%,15,48%,
11,2019,2019-11-24,,12,,DAL,@,NWE,L 9-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2019,2019-11-28,12,13,24.280,DAL,,BUF,L 15-26,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,10,43%,
13,2019,2019-12-05,13,14,24.287,DAL,@,CHI,L 24-31,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,11,37%,
14,2019,2019-12-15,14,15,24.297,DAL,,LAR,W 44-21,,,,,,,,,,,,0,,,0,0,0,0,0%,12,16%,11,35%,
15,2019,2019-12-22,,16,,DAL,@,PHI,L 9-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2019,2019-12-29,16,17,24.311,DAL,,WAS,W 47-16,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,15,44%,
