Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,23.194,DAL,@,NYG,W 40-0,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,4,7%,0,0%,12,50%,
2,2023,2023-09-17,2,2,23.201,DAL,,NYJ,W 30-10,,0,0,,0,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0,0,0,0,18,21%,0,0%,16,57%,
3,2023,2023-09-24,3,3,23.208,DAL,@,ARI,L 16-28,,1,9,9.00,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0,0,0,0,8,10%,0,0%,15,60%,
4,2023,2023-10-01,4,4,23.215,DAL,,NWE,W 38-3,,2,4,2.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0,0,0,0,14,20%,0,0%,17,66%,
5,2023,2023-10-08,5,5,23.222,DAL,@,SFO,L 10-42,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,6,12%,0,0%,19,70%,
6,2023,2023-10-16,6,6,23.230,DAL,@,LAC,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,8,13%,0,0%,16,64%,
7,2023,2023-10-29,7,8,23.243,DAL,,LAR,W 43-20,,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,0.0,0,0,0,0,0,6,9%,0,0%,21,70%,
8,2023,2023-11-05,8,9,23.250,DAL,@,PHI,L 23-28,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,1,1,0,0,5,7%,0,0%,17,71%,
9,2023,2023-11-12,9,10,23.257,DAL,,NYG,W 49-17,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,5,6%,0,0%,21,68%,
10,2023,2023-11-19,10,11,23.264,DAL,@,CAR,W 33-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,2,0,0,8,11%,0,0%,18,67%,
11,2023,2023-11-23,11,12,23.268,DAL,,WAS,W 45-10,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,4,7%,0,0%,15,60%,
12,2023,2023-11-30,12,13,23.275,DAL,,SEA,W 41-35,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0,0,0.0,0,0,0,0,0,11,12%,0,0%,15,54%,
13,2023,2023-12-10,13,14,23.285,DAL,,PHI,W 33-13,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,8,10%,0,0%,15,60%,
14,2023,2023-12-17,14,15,23.292,DAL,@,BUF,L 10-31,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,4,7%,0,0%,17,71%,
15,2023,2023-12-24,15,16,23.299,DAL,@,MIA,L 20-22,,2,3,1.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,11,17%,0,0%,11,42%,
16,2023,2023-12-30,16,17,23.305,DAL,,DET,W 20-19,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,8,12%,0,0%,15,58%,
17,2023,2024-01-07,17,18,23.313,DAL,@,WAS,W 38-10,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,25,35%,0,0%,11,50%,
18,2024,2024-09-08,1,1,24.193,DAL,@,CLE,W 33-17,,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,20,32%,0,0%,25,69%,
19,2024,2024-09-15,2,2,24.200,DAL,,NOR,L 19-44,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,10,14%,0,0%,15,56%,
20,2024,2024-09-22,3,3,24.207,DAL,,BAL,L 25-28,,0,0,,0,3,2,41,20.50,0,66.7%,13.67,0,0,,0,0,0,0.0,0,1,1,0,0,30,38%,0,0%,17,61%,
21,2024,2024-09-26,4,4,24.211,DAL,@,NYG,W 20-15,,2,8,4.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,2,1,3,0,0,29,52%,0,0%,15,60%,
22,2024,2024-10-06,5,5,24.221,DAL,@,PIT,W 20-17,*,2,6,3.00,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,0.0,0,0,0,0,0,23,30%,0,0%,1,4%,
23,2024,2024-10-13,6,6,24.228,DAL,,DET,L 9-47,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,22,32%,0,0%,4,14%,
24,2024,2024-10-27,7,8,24.242,DAL,@,SFO,L 24-30,*,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,25,40%,0,0%,4,13%,
25,2024,2024-11-03,8,9,24.249,DAL,@,ATL,L 21-27,,1,5,5.00,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,0,2,2,0,0,17,22%,0,0%,9,35%,
26,2024,2024-11-10,9,10,24.256,DAL,,PHI,L 6-34,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,1,1,0,0,16,27%,0,0%,9,32%,
27,2024,2024-11-18,10,11,,DAL,,HOU,L 10-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
