Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,DAL,@,NYG,W 40-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,23.133,DAL,,NYJ,W 30-10,,,,,,,0.0%,,,,,,,,15,17%,0,0%,13,46%,
3,2023,2023-09-24,3,3,,DAL,@,ARI,L 16-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2023,2023-10-01,4,4,,DAL,,NWE,W 38-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-08,5,5,,DAL,@,SFO,L 10-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-16,6,6,23.162,DAL,@,LAC,W 20-17,,,,,,,0.0%,,,,,,,,5,8%,0,0%,11,44%,
7,2023,2023-10-29,7,8,,DAL,,LAR,W 43-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-11-05,8,9,,DAL,@,PHI,L 23-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2023,2023-11-12,9,10,23.189,DAL,,NYG,W 49-17,,4,4,39,9.75,0,100.0%,9.75,0.0,0,0,0,0,0,24,31%,0,0%,16,52%,
10,2023,2023-11-19,10,11,23.196,DAL,@,CAR,W 33-10,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,16,22%,0,0%,12,44%,
11,2023,2023-11-23,11,12,23.200,DAL,,WAS,W 45-10,,1,1,24,24.00,0,100.0%,24.00,0.0,0,0,0,0,0,6,11%,0,0%,10,40%,
12,2023,2023-11-30,12,13,,DAL,,SEA,W 41-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2023,2023-12-10,13,14,,DAL,,PHI,W 33-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2023,2023-12-17,14,15,,DAL,@,BUF,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
