Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1,2023,2023-09-10,1,1,,DAL,@,NYG,W 40-0,Did Not Play
2,2023,2023-09-17,2,2,,DAL,,NYJ,W 30-10,Did Not Play
3,2023,2023-09-24,3,3,,DAL,@,ARI,L 16-28,Did Not Play
4,2023,2023-10-01,4,4,,DAL,,NWE,W 38-3,Did Not Play
5,2023,2023-10-08,5,5,,DAL,@,SFO,L 10-42,Did Not Play
6,2023,2023-10-16,6,6,,DAL,@,LAC,W 20-17,Did Not Play
7,2023,2023-10-29,7,8,,DAL,,LAR,W 43-20,Did Not Play
8,2023,2023-11-05,8,9,,DAL,@,PHI,L 23-28,Did Not Play
9,2023,2023-11-12,9,10,,DAL,,NYG,W 49-17,Did Not Play
10,2023,2023-11-19,10,11,,DAL,@,CAR,W 33-10,Did Not Play
11,2023,2023-11-23,11,12,,DAL,,WAS,W 45-10,Did Not Play
12,2023,2023-11-30,12,13,,DAL,,SEA,W 41-35,Did Not Play
13,2023,2023-12-10,13,14,,DAL,,PHI,W 33-13,Did Not Play
14,2023,2023-12-17,14,15,,DAL,@,BUF,L 10-31,Did Not Play
15,2023,2023-12-24,15,16,,DAL,@,MIA,L 20-22,Did Not Play
16,2023,2023-12-30,16,17,,DAL,,DET,W 20-19,Did Not Play
17,2023,2024-01-07,17,18,,DAL,@,WAS,W 38-10,Did Not Play
18,2024,2024-09-08,1,1,,DAL,@,CLE,W 33-17,Inactive
19,2024,2024-09-15,2,2,,DAL,,NOR,L 19-44,Inactive
20,2024,2024-09-22,3,3,,DAL,,BAL,L 25-28,Inactive
21,2024,2024-09-26,4,4,,DAL,@,NYG,W 20-15,Inactive
22,2024,2024-10-06,5,5,,DAL,@,PIT,W 20-17,Inactive
23,2024,2024-10-13,6,6,,DAL,,DET,L 9-47,Inactive
24,2024,2024-10-27,7,8,,DAL,@,SFO,L 24-30,Did Not Play
25,2024,2024-11-03,8,9,,DAL,@,ATL,L 21-27,Did Not Play
26,2024,2024-11-10,9,10,,DAL,,PHI,L 6-34,Did Not Play
27,2024,2024-11-18,10,11,,DAL,,HOU,L 10-34,Did Not Play
