Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.143,CAR,@,ATL,L 10-24,*,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,0,0,0,0,67,87%,0,0%,1,4%,
2,2023,2023-09-18,2,2,22.151,CAR,,NOR,L 17-20,*,8,3,26,8.67,0,37.5%,3.25,0,0,,0,0,0,0,0,0,0,59,98%,0,0%,0,0%,
3,2023,2023-09-24,3,3,22.157,CAR,@,SEA,L 27-37,*,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,0,0,0,0,26,33%,0,0%,0,0%,
4,2023,2023-10-01,4,4,,CAR,,MIN,L 13-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-08,5,5,22.171,CAR,@,DET,L 24-42,*,7,5,48,9.60,0,71.4%,6.86,0,0,,0,0,0,0,0,0,0,61,86%,0,0%,1,4%,
6,2023,2023-10-15,6,6,22.178,CAR,@,MIA,L 21-42,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,0,0,0,0,64,93%,0,0%,7,23%,
7,2023,2023-10-29,7,8,22.192,CAR,,HOU,W 15-13,*,5,4,62,15.50,0,80.0%,12.40,0,0,,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,
8,2023,2023-11-05,8,9,22.199,CAR,,IND,L 13-27,*,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,0,0,0,0,70,99%,0,0%,3,11%,
9,2023,2023-11-09,9,10,22.203,CAR,@,CHI,L 13-16,*,7,3,20,6.67,0,42.9%,2.86,0,0,,0,0,0,0,0,0,0,59,98%,0,0%,0,0%,
10,2023,2023-11-19,10,11,22.213,CAR,,DAL,L 10-33,,6,1,6,6.00,0,16.7%,1.00,0,0,,0,0,0,0,0,0,0,56,95%,0,0%,0,0%,
11,2023,2023-11-26,11,12,22.220,CAR,@,TEN,L 10-17,*,6,4,60,15.00,0,66.7%,10.00,0,0,,0,0,0,0,0,0,0,68,92%,0,0%,0,0%,
12,2023,2023-12-03,12,13,22.227,CAR,@,TAM,L 18-21,*,10,6,69,11.50,0,60.0%,6.90,0,0,,0,1,0,0,0,0,0,69,96%,0,0%,0,0%,
13,2023,2023-12-10,13,14,22.234,CAR,@,NOR,L 6-28,*,9,2,22,11.00,0,22.2%,2.44,0,0,,0,0,0,0,0,0,0,71,89%,0,0%,0,0%,
14,2023,2023-12-17,14,15,22.241,CAR,,ATL,W 9-7,*,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,
15,2023,2023-12-24,15,16,22.248,CAR,,GNB,L 30-33,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0,0,0,0,61,92%,0,0%,0,0%,
16,2023,2023-12-31,16,17,22.255,CAR,@,JAX,L 0-26,*,3,2,0,0.00,0,66.7%,0.00,0,0,,0,0,0,0,0,0,0,53,98%,0,0%,0,0%,
17,2023,2024-01-07,17,18,,CAR,,TAM,L 0-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2024,2024-09-08,1,1,23.141,CAR,@,NOR,L 10-47,,5,2,40,20.00,0,40.0%,8.00,1,3,3.00,0,1,1,0,0,0,0,33,56%,0,0%,10,33%,
19,2024,2024-09-15,2,2,23.148,CAR,,LAC,L 3-26,*,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,0,0,0,0,30,63%,0,0%,6,25%,
20,2024,2024-09-22,3,3,23.155,CAR,@,LVR,W 36-22,*,4,3,18,6.00,0,75.0%,4.50,1,2,2.00,0,0,0,0,0,0,0,49,66%,0,0%,4,13%,
21,2024,2024-09-29,4,4,23.162,CAR,,CIN,L 24-34,,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,0,0,0,0,56,80%,0,0%,7,25%,
22,2024,2024-10-06,5,5,23.169,CAR,@,CHI,L 10-36,*,5,2,37,18.50,0,40.0%,7.40,0,0,,0,0,0,0,0,0,0,41,68%,0,0%,7,27%,
23,2024,2024-10-13,6,6,23.176,CAR,,ATL,L 20-38,*,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0,0,0,0,30,45%,0,0%,8,30%,
24,2024,2024-10-20,7,7,23.183,CAR,@,WAS,L 7-40,*,,,,,,0.0%,,,,,,,,,,,,11,26%,0,0%,12,46%,
25,2024,2024-10-27,8,8,23.190,CAR,@,DEN,L 14-28,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,33,54%,0,0%,8,33%,
26,2024,2024-11-03,9,9,23.197,CAR,,NOR,W 23-22,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,15,28%,0,0%,9,31%,
27,2024,2024-11-10,9,10,,DAL,,PHI,L 6-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2024,2024-11-18,10,11,23.212,DAL,,HOU,L 10-34,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,24,29%,0,0%,0,0%,
