Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.062,DAL,@,CLE,W 33-17,,0.0,2,1,3,0,2,0,0,0,1,0,0%,44,58%,3,8%,
2.0,2024.0,2024-09-15,2.0,2.0,23.069,DAL,,NOR,L 19-44,,0.0,0,0,0,0,0,0,0,0,0,0,0%,18,31%,7,26%,
3.0,2024.0,2024-09-22,3.0,3.0,23.076,DAL,,BAL,L 25-28,,0.0,1,1,2,0,0,0,0,0,0,0,0%,10,16%,13,47%,
4.0,2024.0,2024-09-26,4.0,4.0,23.08,DAL,@,NYG,W 20-15,,0.0,2,1,3,1,1,0,0,0,0,0,0%,36,52%,5,20%,
5.0,2024.0,2024-10-06,5.0,5.0,23.09,DAL,@,PIT,W 20-17,*,0.0,2,0,2,0,0,0,0,0,0,0,0%,4,7%,0,0%,
6.0,2024.0,2024-10-13,6.0,6.0,,DAL,,DET,L 9-47,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7.0,2024.0,2024-10-27,7.0,8.0,,DAL,@,SFO,L 24-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8.0,2024.0,2024-11-03,8.0,9.0,,DAL,@,ATL,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9.0,2024.0,2024-11-10,9.0,10.0,,DAL,,PHI,L 6-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10.0,2024.0,2024-11-18,10.0,11.0,,DAL,,HOU,L 10-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
