Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-09,1,1,22.106,DAL,@,TAM,L 29-31,*,0,0,0.0,3,4,7,0,1,0,0,0,1,0,0,0,0,0,0,1,1%,51,78%,5,15%,
2,2021,2021-09-19,2,2,22.116,DAL,@,LAC,W 20-17,*,0,0,1.0,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,39,55%,1,5%,
3,2021,2021-09-27,3,3,22.124,DAL,,PHI,W 41-21,*,0,0,0.5,3,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,37,64%,0,0%,
4,2021,2021-10-03,4,4,22.130,DAL,,CAR,W 36-28,*,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,68,97%,0,0%,
5,2021,2021-10-10,5,5,22.137,DAL,,NYG,W 44-20,*,0,0,0.0,6,2,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,63,93%,0,0%,
6,2021,2021-10-17,6,6,22.144,DAL,@,NWE,W 35-29,*,0,0,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,0,0%,
7,2021,2021-10-31,7,8,22.158,DAL,@,MIN,W 20-16,*,0,0,0.0,10,1,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0%,64,97%,0,0%,
8,2021,2021-11-07,8,9,22.165,DAL,,DEN,L 16-30,*,0,0,2.5,8,2,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0%,67,86%,0,0%,
9,2021,2021-11-14,9,10,22.172,DAL,,ATL,W 43-3,*,0,0,1.0,6,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,40,74%,1,4%,
10,2021,2021-11-21,10,11,22.179,DAL,@,KAN,L 9-19,*,0,0,2.0,4,0,4,2,3,0,0,0,0,0,0,1,0,0,0,0,0%,60,88%,1,4%,
11,2021,2021-11-25,11,12,22.183,DAL,,LVR,L 33-36,*,0,0,1.0,4,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0%,77,89%,1,2%,
12,2021,2021-12-02,12,13,22.190,DAL,@,NOR,W 27-17,*,0,0,1.0,2,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,65,93%,0,0%,
