Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,DAL,@,CLE,W 33-17,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,DAL,,NOR,L 19-44,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,DAL,,BAL,L 25-28,Did Not Play
4.0,2024.0,2024-09-26,4.0,4.0,,DAL,@,NYG,W 20-15,Did Not Play
5.0,2024.0,2024-10-06,5.0,5.0,,DAL,@,PIT,W 20-17,Did Not Play
6.0,2024.0,2024-10-13,6.0,6.0,,DAL,,DET,L 9-47,Did Not Play
7.0,2024.0,2024-10-27,7.0,8.0,,DAL,@,SFO,L 24-30,Did Not Play
8.0,2024.0,2024-11-03,8.0,9.0,,DAL,@,ATL,L 21-27,Did Not Play
9.0,2024.0,2024-11-10,9.0,10.0,,DAL,,PHI,L 6-34,Did Not Play
10.0,2024.0,2024-11-18,10.0,11.0,,DAL,,HOU,L 10-34,Did Not Play
