Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,23.022,CIN,@,NYJ,W 23-22,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,17,59%,
2,2016,2016-09-18,2,2,23.029,CIN,@,PIT,L 16-24,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,76%,
3,2016,2016-09-25,3,3,23.036,CIN,,DEN,L 17-29,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,7%,20,74%,
4,2016,2016-09-29,4,4,23.040,CIN,,MIA,W 22-7,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,75%,
5,2016,2016-10-09,5,5,23.050,CIN,@,DAL,L 14-28,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,68%,
6,2016,2016-10-16,6,6,23.057,CIN,@,NWE,L 17-35,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,19,68%,
7,2016,2016-10-23,7,7,23.064,CIN,,CLE,W 31-17,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,16,59%,
8,2016,2016-10-30,8,8,23.071,CIN,,WAS,T 27-27,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,59%,
9,2016,2016-11-14,9,10,23.086,CIN,@,NYG,L 20-21,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,69%,
10,2016,2016-11-20,10,11,23.092,CIN,,BUF,L 12-16,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,19,76%,
11,2016,2016-11-27,11,12,23.099,CIN,@,BAL,L 14-19,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,21,72%,
12,2016,2016-12-04,12,13,23.106,CIN,,PHI,W 32-14,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,6,8%,14,56%,
13,2016,2016-12-11,13,14,23.113,CIN,@,CLE,W 23-10,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,9%,20,74%,
14,2016,2016-12-18,14,15,23.120,CIN,,PIT,L 20-24,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,24%,18,67%,
15,2016,2016-12-24,15,16,23.126,CIN,@,HOU,L 10-12,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,31%,22,79%,
16,2016,2017-01-01,16,17,23.134,CIN,,BAL,W 27-10,,0,0,0.0,4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,37,51%,19,76%,
17,2017,2017-09-10,1,1,24.021,CIN,,BAL,L 0-20,*,0,0,0.0,6,4,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,65,98%,7,33%,
18,2017,2017-09-14,2,2,24.025,CIN,,HOU,L 9-13,*,0,0,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,8,27%,
19,2017,2017-09-24,3,3,24.035,CIN,@,GNB,L 24-27,*,0,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,11,33%,
20,2017,2017-10-01,4,4,24.042,CIN,@,CLE,W 31-7,*,0,0,1.0,8,4,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0%,64,98%,8,32%,
21,2017,2017-10-08,5,5,24.049,CIN,,BUF,W 20-16,*,0,0,0.0,4,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,70,100%,8,28%,
22,2017,2017-10-22,6,7,24.063,CIN,@,PIT,L 14-29,*,0,0,0.0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,100%,12,44%,
23,2017,2017-10-29,7,8,24.070,CIN,,IND,W 24-23,*,0,0,0.0,3,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,74,100%,9,31%,
24,2017,2017-11-05,8,9,24.077,CIN,@,JAX,L 7-23,*,0,0,0.0,6,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,80,100%,12,50%,
25,2017,2017-11-12,9,10,24.084,CIN,@,TEN,L 20-24,*,0,0,0.0,3,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,90,100%,12,41%,
26,2017,2017-11-19,10,11,24.091,CIN,@,DEN,W 20-17,*,0,0,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,79,96%,12,43%,
27,2017,2017-11-26,11,12,24.098,CIN,,CLE,W 30-16,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,46%,2,7%,
28,2017,2017-12-04,,13,,CIN,,PIT,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2017,2017-12-10,,14,,CIN,,CHI,L 7-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2017,2017-12-17,,15,,CIN,@,MIN,L 7-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2017,2017-12-24,,16,,CIN,,DET,W 26-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
32,2017,2017-12-31,,17,,CIN,@,BAL,W 31-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
33,2018,2018-09-09,1,1,25.020,CIN,@,IND,W 34-23,*,0,0,0.0,11,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,82,100%,8,28%,
34,2018,2018-09-13,2,2,25.024,CIN,,BAL,W 34-23,*,0,0,0.0,6,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,85,100%,5,17%,
35,2018,2018-09-23,3,3,25.034,CIN,@,CAR,L 21-31,*,0,0,0.0,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,6,23%,
36,2018,2018-09-30,4,4,25.041,CIN,@,ATL,W 37-36,*,0,0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,7,24%,
37,2018,2018-10-07,5,5,25.048,CIN,,MIA,W 27-17,,0,0,0.0,7,2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,45,70%,10,34%,
38,2018,2018-10-14,6,6,25.055,CIN,,PIT,L 21-28,*,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,18%,1,4%,
39,2018,2018-10-21,,7,,CIN,@,KAN,L 10-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2018,2018-10-28,,8,,CIN,,TAM,W 37-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2018,2018-11-11,,10,,CIN,,NOR,L 14-51,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
