Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.164,DAL,,TAM,L 3-19,,,0,0,,,,,,,,,,,,,,,,,0,0%,6,10%,11,46%,
2,2022,2022-09-18,2,2,23.171,DAL,,CIN,W 20-17,,,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,14%,17,65%,
3,2022,2022-09-26,3,3,23.179,DAL,@,NYG,W 23-16,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,25%,19,66%,
4,2022,2022-10-02,4,4,23.185,DAL,,WAS,W 25-10,,,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,17,23%,18,60%,
5,2022,2022-10-09,5,5,23.192,DAL,@,LAR,W 22-10,,,0,0,0.0,2,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0%,25,38%,19,63%,
6,2022,2022-10-16,6,6,23.199,DAL,@,PHI,L 17-26,,,0,0,,,,,,,,,,,,,,,,,0,0%,11,16%,18,75%,
7,2022,2022-10-23,7,7,23.206,DAL,,DET,W 24-6,,,0,0,2.0,3,0,3,2,2,0,0,0,0,0,0,1,1,0,0,0,0%,14,24%,13,59%,
8,2022,2022-10-30,8,8,,DAL,,CHI,W 49-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2022,2022-11-13,9,10,23.227,DAL,@,GNB,L 28-31,,,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,17,27%,21,70%,
10,2022,2022-11-20,10,11,23.234,DAL,@,MIN,W 40-3,,,0,0,0.0,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,47%,16,57%,
11,2022,2022-11-24,11,12,23.238,DAL,,NYG,W 28-20,,,0,0,,,,,,,,,,,,,,,,,0,0%,26,41%,12,52%,
12,2022,2022-12-04,12,13,23.248,DAL,,IND,W 54-19,,,0,0,0.0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0%,21,29%,17,55%,
13,2022,2022-12-11,13,14,23.255,DAL,,HOU,W 27-23,,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,24%,20,71%,
14,2022,2022-12-18,14,15,23.262,DAL,@,JAX,L 34-40,,,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,24,34%,19,58%,
15,2022,2022-12-24,15,16,,DAL,,PHI,W 40-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2022,2022-12-29,16,17,23.273,DAL,@,TEN,W 27-13,,,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,40%,10,40%,
17,2022,2023-01-08,17,18,23.283,DAL,@,WAS,L 6-26,,,0,0,1.0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,15,23%,15,44%,
18,2023,2023-09-10,1,1,24.163,DAL,@,NYG,W 40-0,,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,49%,13,54%,
19,2023,2023-09-17,2,2,24.170,DAL,,NYJ,W 30-10,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,40%,16,57%,
20,2023,2023-09-24,3,3,24.177,DAL,@,ARI,L 16-28,,,0,0,,,,,,,,,,,,,,,,,0,0%,10,16%,13,52%,
21,2023,2023-10-01,4,4,24.184,DAL,,NWE,W 38-3,,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,16,29%,9,35%,
22,2023,2023-10-08,5,5,24.191,DAL,@,SFO,L 10-42,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,28%,13,48%,
23,2023,2023-10-16,6,6,24.199,DAL,@,LAC,W 20-17,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,16%,16,64%,
24,2023,2023-10-29,7,8,24.212,DAL,,LAR,W 43-20,,1,0,2,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,34%,21,70%,
25,2023,2023-11-05,8,9,24.219,DAL,@,PHI,L 23-28,,,0,0,1.0,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,12,19%,19,79%,
26,2023,2023-11-12,9,10,24.226,DAL,,NYG,W 49-17,,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,47%,24,78%,
27,2023,2023-11-19,10,11,24.233,DAL,@,CAR,W 33-10,,,0,0,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,16,27%,21,78%,
