Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,24.163,DAL,@,NYG,W 40-0,,9,16%,0,0%,7,29%
2,2023,2023-09-17,2,2,24.170,DAL,,NYJ,W 30-10,,42,48%,0,0%,6,21%
3,2023,2023-09-24,3,3,24.177,DAL,@,ARI,L 16-28,*,81,100%,0,0%,4,16%
4,2023,2023-10-01,4,4,24.184,DAL,,NWE,W 38-3,,16,23%,0,0%,7,27%
5,2023,2023-10-08,5,5,24.191,DAL,@,SFO,L 10-42,,10,20%,0,0%,2,7%
6,2023,2023-10-16,6,6,24.199,DAL,@,LAC,W 20-17,,0,0%,0,0%,4,16%
7,2023,2023-10-29,7,8,24.212,DAL,,LAR,W 43-20,,9,14%,0,0%,7,23%
8,2023,2023-11-05,8,9,24.219,DAL,@,PHI,L 23-28,,0,0%,0,0%,3,13%
9,2023,2023-11-12,9,10,24.226,DAL,,NYG,W 49-17,,18,23%,0,0%,7,23%
10,2023,2023-11-19,10,11,24.233,DAL,@,CAR,W 33-10,,11,15%,0,0%,6,22%
11,2023,2023-11-23,11,12,24.237,DAL,,WAS,W 45-10,,0,0%,0,0%,6,24%
12,2023,2023-11-30,12,13,24.244,DAL,,SEA,W 41-35,,0,0%,0,0%,7,25%
13,2023,2023-12-10,13,14,24.254,DAL,,PHI,W 33-13,,0,0%,0,0%,7,28%
14,2023,2023-12-17,14,15,24.261,DAL,@,BUF,L 10-31,,47,82%,0,0%,2,8%
15,2023,2023-12-24,15,16,24.268,DAL,@,MIA,L 20-22,,2,3%,0,0%,4,15%
16,2023,2023-12-30,16,17,24.274,DAL,,DET,W 20-19,,26,40%,0,0%,4,15%
17,2023,2024-01-07,17,18,24.282,DAL,@,WAS,W 38-10,*,72,100%,0,0%,8,36%
18,2024,2024-09-08,1,1,25.161,DAL,@,CLE,W 33-17,,1,2%,0,0%,7,19%
19,2024,2024-09-15,2,2,25.168,DAL,,NOR,L 19-44,,8,11%,0,0%,5,19%
20,2024,2024-09-22,3,3,25.175,DAL,,BAL,L 25-28,,0,0%,0,0%,3,11%
21,2024,2024-09-26,4,4,25.179,DAL,@,NYG,W 20-15,,3,5%,0,0%,5,20%
22,2024,2024-10-06,5,5,25.189,DAL,@,PIT,W 20-17,,53,70%,0,0%,6,25%
23,2024,2024-10-13,6,6,25.196,DAL,,DET,L 9-47,*,69,100%,0,0%,3,11%
24,2024,2024-10-27,7,8,25.210,DAL,@,SFO,L 24-30,,0,0%,0,0%,4,13%
25,2024,2024-11-03,8,9,25.217,DAL,@,ATL,L 21-27,,0,0%,0,0%,3,12%
26,2024,2024-11-10,9,10,25.224,DAL,,PHI,L 6-34,,6,10%,0,0%,2,7%
27,2024,2024-11-18,10,11,25.232,DAL,,HOU,L 10-34,,17,20%,0,0%,4,15%
