Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,23.101,DAL,@,LAR,L 17-20,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,72,100%,0,0%,4,15%,
2,2020,2020-09-20,2,2,23.108,DAL,,ATL,W 40-39,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,6,16%,
3,2020,2020-09-27,3,3,23.115,DAL,@,SEA,L 31-38,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,41,50%,0,0%,5,15%,
4,2020,2020-10-04,4,4,23.122,DAL,,CLE,L 38-49,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,21,26%,0,0%,2,6%,
5,2020,2020-10-11,5,5,23.129,DAL,,NYG,W 37-34,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,66,100%,0,0%,7,21%,
6,2020,2020-10-19,6,6,23.137,DAL,,ARI,L 10-38,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,89,100%,0,0%,3,11%,
7,2020,2020-10-25,7,7,23.143,DAL,@,WAS,L 3-25,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,57,100%,0,0%,1,5%,
8,2020,2020-11-01,8,8,23.150,DAL,@,PHI,L 9-23,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,79,100%,0,0%,4,19%,
9,2020,2020-11-08,9,9,23.157,DAL,,PIT,L 19-24,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,72,100%,0,0%,5,19%,
10,2020,2020-11-22,10,11,23.171,DAL,@,MIN,W 31-28,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,1,2%,0,0%,4,15%,
11,2020,2020-11-26,11,12,23.175,DAL,,WAS,L 16-41,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,49,83%,0,0%,4,14%,
12,2020,2020-12-08,12,13,23.187,DAL,@,BAL,L 17-34,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,79,100%,0,0%,7,25%,
13,2020,2020-12-13,13,14,23.192,DAL,@,CIN,W 30-7,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,51,100%,0,0%,6,29%,
14,2020,2020-12-20,14,15,23.199,DAL,,SFO,W 41-33,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,58,100%,0,0%,8,21%,
15,2020,2020-12-27,15,16,23.206,DAL,,PHI,W 37-17,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,70,100%,0,0%,7,23%,
16,2020,2021-01-03,16,17,23.213,DAL,@,NYG,L 19-23,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,83,100%,0,0%,5,17%,
17,2021,2021-09-09,1,1,24.097,DAL,@,TAM,L 29-31,,,,,,,0.0%,,0,0,,,,,,,,,,,,,0,0%,0,0%,8,24%,
18,2021,2021-09-19,2,2,24.107,DAL,@,LAC,W 20-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,62,100%,0,0%,4,21%,
19,2021,2021-09-27,3,3,24.115,DAL,,PHI,W 41-21,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,76,100%,0,0%,6,20%,
