Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.089,DAL,@,CLE,W 33-17,*,,,,,,,63,100%,0,0%,7,19%,
2.0,2024.0,2024-09-15,2.0,2.0,23.096,DAL,,NOR,L 19-44,*,,,,,,,70,100%,0,0%,5,19%,
3.0,2024.0,2024-09-22,3.0,3.0,23.103,DAL,,BAL,L 25-28,*,,,,,,,80,100%,0,0%,3,11%,
4.0,2024.0,2024-09-26,4.0,4.0,23.107,DAL,@,NYG,W 20-15,*,,,,,,,56,100%,0,0%,5,20%,
5.0,2024.0,2024-10-06,5.0,5.0,23.117,DAL,@,PIT,W 20-17,*,,,,,,,23,30%,0,0%,1,4%,
6.0,2024.0,2024-10-13,6.0,6.0,,DAL,,DET,L 9-47,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7.0,2024.0,2024-10-27,7.0,8.0,23.138,DAL,@,SFO,L 24-30,*,,,,,,,62,100%,0,0%,0,0%,
8.0,2024.0,2024-11-03,8.0,9.0,23.145,DAL,@,ATL,L 21-27,*,,,,,,,74,96%,0,0%,0,0%,
9.0,2024.0,2024-11-10,9.0,10.0,,DAL,,PHI,L 6-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10.0,2024.0,2024-11-18,10.0,11.0,23.16,DAL,,HOU,L 10-34,*,1,1,0,1,-5,0,60,72%,0,0%,4,15%,
