Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-06,1.0,1.0,,PHI,,GNB,W 34-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2.0,2024.0,2024-09-16,2.0,2.0,,PHI,,ATL,L 21-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,PHI,@,NOR,W 15-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4.0,2024.0,2024-09-29,4.0,4.0,,PHI,@,TAM,L 16-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5.0,2024.0,2024-10-13,5.0,6.0,,PHI,,CLE,W 20-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6.0,2024.0,2024-10-20,6.0,7.0,,PHI,@,NYG,W 28-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7.0,2024.0,2024-10-27,7.0,8.0,23.149,PHI,@,CIN,W 37-17,,,,,,,0.0%,,,,,,8,13%,0,0%,0,0%,
8.0,2024.0,2024-11-03,8.0,9.0,23.156,PHI,,JAX,W 28-23,,1,1,0,0.00,0,100.0%,0.00,1,2,2.00,0,5,6%,0,0%,0,0%,
9.0,2024.0,2024-11-10,9.0,10.0,23.163,PHI,@,DAL,W 34-6,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,18,26%,0,0%,0,0%,
10.0,2024.0,2024-11-14,10.0,11.0,23.167,PHI,,WAS,W 26-18,,0,0,0,,0,0.0%,,0,0,,0,6,8%,0,0%,0,0%,
