Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-06,1,1,22.159,PHI,,ATL,W 18-12,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,93%,
2,2018,2018-09-16,2,2,22.169,PHI,@,TAM,L 21-27,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,86%,
3,2018,2018-09-23,3,3,22.176,PHI,,IND,W 20-16,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,82%,
4,2018,2018-09-30,4,4,22.183,PHI,@,TEN,L 23-26,,0.0,0,0,0,0,0,1,23,0,1,0,0,0,0,0,0,0,0%,20,28%,20,65%,
5,2018,2018-10-07,5,5,22.190,PHI,,MIN,L 21-23,*,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,11,41%,
6,2018,2018-10-11,6,6,22.194,PHI,@,NYG,W 34-13,*,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,6,19%,
7,2018,2018-10-21,7,7,22.204,PHI,,CAR,L 17-21,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,98%,6,27%,
8,2018,2018-10-28,8,8,22.211,PHI,@,JAX,W 24-18,*,0.0,4,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,64,100%,9,38%,
9,2018,2018-11-11,9,10,22.225,PHI,,DAL,L 20-27,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,99%,11,39%,
10,2018,2018-11-18,10,11,22.232,PHI,@,NOR,L 7-48,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,24%,1,4%,
11,2018,2018-11-25,,12,,PHI,,NYG,W 25-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2018,2018-12-03,,13,,PHI,,WAS,W 28-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2018,2018-12-09,,14,,PHI,@,DAL,L 23-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2018,2018-12-16,14,15,22.260,PHI,@,LAR,W 30-23,*,0.0,3,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0%,76,100%,1,3%,
15,2018,2018-12-23,15,16,22.267,PHI,,HOU,W 32-30,*,0.5,3,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,9,32%,
16,2018,2018-12-30,16,17,22.274,PHI,@,WAS,W 24-0,*,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,100%,6,32%,
17,2019,2019-09-08,1,1,23.161,PHI,,WAS,W 32-27,*,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,91%,9,31%,
18,2019,2019-09-15,2,2,23.168,PHI,@,ATL,L 20-24,*,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,42,67%,9,38%,
19,2019,2019-09-22,3,3,23.175,PHI,,DET,L 24-27,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,43%,14,47%,
20,2019,2019-09-26,4,4,23.179,PHI,@,GNB,W 34-27,,0.0,5,3,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,70,89%,7,26%,
21,2019,2019-10-06,,5,,PHI,,NYJ,W 31-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2019,2019-10-13,,6,,PHI,@,MIN,L 20-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2019,2019-10-20,,7,,PHI,@,DAL,L 10-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2019,2019-10-27,,8,,PHI,@,BUF,W 31-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2019,2019-11-03,9,9,23.217,PHI,,CHI,W 22-14,,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,26,59%,7,24%,
26,2019,2019-11-17,10,11,23.231,PHI,,NWE,L 10-17,*,0.0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,85%,3,10%,
