Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,22.294,NYJ,@,BUF,L 17-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,278,46.33,68,210,35.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,35%,
2,2020,2020-09-20,2,2,22.301,NYJ,,SFO,L 13-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,222,44.40,0,202,40.4,1,20.0%,1,20.0%,0,0,0%,0,0%,8,30%,
3,2020,2020-09-27,3,3,22.308,NYJ,@,IND,L 7-36,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,210,42.00,24,186,37.2,0,0.0%,1,20.0%,0,0,0%,0,0%,7,26%,
4,2020,2020-10-01,4,4,22.312,NYJ,,DEN,L 28-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,146,48.67,51,75,25.0,1,33.3%,0,0.0%,0,0,0%,0,0%,10,29%,
5,2020,2020-10-11,5,5,22.322,NYJ,,ARI,L 10-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,279,46.50,8,271,45.2,0,0.0%,4,66.7%,0,0,0%,0,0%,8,32%,
6,2020,2020-10-18,6,6,22.329,NYJ,@,MIA,L 0-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,10,462,46.20,83,359,35.9,1,10.0%,0,0.0%,0,0,0%,0,0%,11,38%,
7,2020,2020-10-25,7,7,22.336,NYJ,,BUF,L 10-18,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,168,42.00,23,145,36.3,0,0.0%,1,25.0%,0,0,0%,0,0%,9,39%,
8,2020,2020-11-01,8,8,22.343,NYJ,@,KAN,L 9-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,227,45.40,14,213,42.6,0,0.0%,1,20.0%,0,0,0%,0,0%,13,45%,
9,2020,2020-11-09,9,9,22.351,NYJ,,NWE,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,83,41.50,0,83,41.5,0,0.0%,1,50.0%,0,0,0%,0,0%,13,48%,
10,2020,2020-11-22,10,11,22.364,NYJ,@,LAC,L 28-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,164,41.00,5,159,39.8,0,0.0%,2,50.0%,0,0,0%,0,0%,13,43%,
