Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,NYJ,@,BUF,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2020,2020-09-20,2,2,,NYJ,,SFO,L 13-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2020,2020-09-27,3,3,22.163,NYJ,@,IND,L 7-36,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,7,12%,0,0%,
4,2020,2020-10-01,4,4,22.167,NYJ,,DEN,L 28-37,,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,60%,11,31%,
5,2020,2020-10-11,5,5,22.177,NYJ,,ARI,L 10-30,,,,,,,,,,,,0,,,0,0,0,0,0%,30,39%,8,32%,
6,2020,2020-10-18,6,6,22.184,NYJ,@,MIA,L 0-24,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,14,25%,6,21%,
7,2020,2020-10-25,7,7,22.191,NYJ,,BUF,L 10-18,,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,41%,6,26%,
8,2020,2020-11-01,8,8,22.198,NYJ,@,KAN,L 9-35,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,70%,8,28%,
9,2020,2020-11-09,9,9,22.206,NYJ,,NWE,L 27-30,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,31%,8,30%,
10,2020,2020-11-22,10,11,22.219,NYJ,@,LAC,L 28-34,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,29%,12,40%,
11,2020,2020-11-29,11,12,22.226,NYJ,,MIA,L 3-20,,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,19,27%,2,9%,
12,2020,2020-12-06,12,13,22.233,NYJ,,LVR,L 28-31,,,,,,,,,,,,0,,,0,0,0,0,0%,17,22%,11,42%,
13,2020,2020-12-13,13,14,22.240,NYJ,@,SEA,L 3-40,,,,,,,,,,,,0,,,0,0,0,0,0%,9,12%,7,25%,
14,2020,2020-12-20,14,15,22.247,NYJ,@,LAR,W 23-20,,,,,,,,,,,,0,,,0,0,0,0,0%,5,8%,4,14%,
15,2020,2020-12-27,15,16,22.254,NYJ,,CLE,W 23-16,,,,,,,,,,,,0,,,0,0,0,0,0%,9,11%,4,12%,
16,2020,2021-01-03,16,17,22.261,NYJ,@,NWE,L 14-28,,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,18,28%,1,4%,
