Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-06,1,1,23.246,PHI,,ATL,W 18-12,,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,24%,0,0%,6,22%,
2,2018,2018-09-16,2,2,23.256,PHI,@,TAM,L 21-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,22%,0,0%,9,32%,
3,2018,2018-09-23,3,3,23.263,PHI,,IND,W 20-16,*,7,7,73,10.43,1,100.0%,10.43,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,67%,0,0%,10,36%,
4,2018,2018-09-30,4,4,23.270,PHI,@,TEN,L 23-26,*,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,41%,0,0%,11,35%,
5,2018,2018-10-07,5,5,23.277,PHI,,MIN,L 21-23,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,58%,0,0%,9,33%,
6,2018,2018-10-11,6,6,23.281,PHI,@,NYG,W 34-13,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,32,45%,0,0%,16,50%,
7,2018,2018-10-21,7,7,23.291,PHI,,CAR,L 17-21,*,5,4,43,10.75,1,80.0%,8.60,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,55%,0,0%,11,50%,
8,2018,2018-10-28,8,8,23.298,PHI,@,JAX,W 24-18,,1,1,32,32.00,1,100.0%,32.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,48%,0,0%,14,58%,
9,2018,2018-11-11,9,10,23.312,PHI,,DAL,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,27%,0,0%,12,43%,
10,2018,2018-11-18,10,11,23.319,PHI,@,NOR,L 7-48,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,31%,0,0%,15,54%,
