Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,PHI,@,NWE,W 25-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-14,2,2,21.353,PHI,,MIN,W 34-28,,,,,,,,,,,,0,0%,1,2%,13,45%,
3,2023,2023-09-25,3,3,21.364,PHI,@,TAM,W 25-11,,,,,,,,,,,,0,0%,0,0%,13,65%,
4,2023,2023-10-01,4,4,22.005,PHI,,WAS,W 34-31,,,,,,,,,,,,0,0%,0,0%,17,55%,
5,2023,2023-10-08,5,5,22.012,PHI,@,LAR,W 23-14,,0.0,2,0,2,0,0,0,0,0,0,0,0%,13,23%,12,60%,
6,2023,2023-10-15,6,6,22.019,PHI,@,NYJ,L 14-20,,0.0,0,1,1,0,0,0,0,0,0,0,0%,12,18%,5,23%,
7,2023,2023-10-22,7,7,22.026,PHI,,MIA,W 31-17,,0.0,0,0,0,0,0,0,0,0,1,0,0%,14,29%,13,59%,
8,2023,2023-10-29,8,8,22.033,PHI,@,WAS,W 38-31,,0.0,1,1,2,1,0,0,0,0,0,0,0%,25,35%,14,50%,
9,2023,2023-11-05,9,9,22.040,PHI,,DAL,W 28-23,,0.0,3,1,4,0,0,0,0,0,0,0,0%,47,63%,11,46%,
10,2023,2023-11-20,10,11,22.055,PHI,@,KAN,W 21-17,,,,,,,,,,,,0,0%,13,16%,13,50%,
11,2023,2023-11-26,11,12,22.061,PHI,,BUF,W 37-34,,0.0,0,0,0,0,0,0,0,0,1,0,0%,19,20%,18,50%,
12,2023,2023-12-03,12,13,22.068,PHI,,SFO,L 19-42,,0.0,1,1,2,0,0,0,0,0,0,0,0%,5,8%,14,54%,
13,2023,2023-12-10,13,14,22.075,PHI,@,DAL,L 13-33,,0.0,1,0,1,0,0,0,0,0,0,0,0%,18,22%,13,52%,
14,2023,2023-12-18,14,15,22.083,PHI,@,SEA,L 17-20,,0.0,1,1,2,0,0,0,0,0,0,0,0%,29,48%,14,52%,
15,2023,2023-12-25,15,16,22.090,PHI,,NYG,W 33-25,,0.0,1,0,1,0,0,0,0,0,0,0,0%,29,46%,16,55%,
16,2023,2023-12-31,16,17,22.096,PHI,,ARI,L 31-35,,0.0,2,1,3,0,0,0,0,0,1,0,0%,33,43%,13,52%,
17,2023,2024-01-07,17,18,22.103,PHI,@,NYG,L 10-27,,0.0,1,0,1,0,0,0,0,0,0,0,0%,43,64%,13,50%,
18,2024,2024-09-06,1,1,22.346,PHI,,GNB,W 34-29,,0.0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,1,3%,
19,2024,2024-09-16,2,2,,PHI,,ATL,L 21-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2024,2024-09-22,3,3,,PHI,@,NOR,W 15-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-29,4,4,23.003,PHI,@,TAM,L 16-33,,,,,,,,,,,,0,0%,0,0%,7,26%,
22,2024,2024-10-13,5,6,,PHI,,CLE,W 20-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2024,2024-10-20,6,7,,PHI,@,NYG,W 28-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2024,2024-10-27,7,8,,PHI,@,CIN,W 37-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-11-03,8,9,23.038,PHI,,JAX,W 28-23,,0.0,0,1,1,0,0,0,0,0,0,0,0%,0,0%,12,52%,
26,2024,2024-11-10,9,10,,PHI,@,DAL,W 34-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2024,2024-11-14,10,11,,PHI,,WAS,W 26-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
