Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,,1,,PIT,@,NWE,L 3-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2019,2019-09-15,,2,,PIT,,SEA,L 26-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2019,2019-09-22,,3,,PIT,@,SFO,L 20-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2019,2019-09-30,,4,,PIT,,CIN,W 27-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2019,2019-10-06,,5,,PIT,,BAL,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2019,2019-10-20,,7,,CIN,,JAX,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2019,2019-10-27,,8,,CIN,@,LAR,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2019,2019-11-10,,10,,CIN,,BAL,L 13-49,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2019,2019-11-17,10,11,22.165,CIN,@,OAK,L 10-17,,0,,,0,0,0,0,0%,0,0%,3,13%,
10,2019,2019-11-24,,12,,CIN,,PIT,L 10-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2019,2019-12-01,12,13,22.179,CIN,,NYJ,W 22-6,,0,,,0,0,0,1,2%,0,0%,0,0%,
12,2019,2019-12-08,13,14,22.186,CIN,@,CLE,L 19-27,,0,,,0,0,0,5,7%,0,0%,0,0%,
13,2019,2019-12-15,14,15,22.193,CIN,,NWE,L 13-34,,0,,,0,0,0,10,15%,0,0%,5,18%,
14,2019,2019-12-22,15,16,22.200,CIN,@,MIA,L 35-38,,0,,,0,0,0,62,69%,0,0%,7,18%,
15,2019,2019-12-29,16,17,22.207,CIN,,CLE,W 33-23,*,0,,,0,0,0,68,99%,0,0%,6,21%,
16,2020,2020-09-13,1,1,23.100,CIN,,LAC,L 13-16,,0,,,0,0,0,0,0%,0,0%,2,7%,
17,2020,2020-09-17,2,2,23.104,CIN,@,CLE,L 30-35,*,0,0,0,0,0,0,92,100%,0,0%,6,22%,
18,2020,2020-09-27,3,3,23.114,CIN,@,PHI,T 23-23,*,0,,,0,0,0,32,44%,0,0%,5,13%,
19,2020,2020-10-04,4,4,23.121,CIN,,JAX,W 33-25,,0,,,0,0,0,4,5%,0,0%,0,0%,
20,2020,2020-10-11,5,5,23.128,CIN,@,BAL,L 3-27,,0,,,0,0,0,3,4%,0,0%,0,0%,
21,2020,2020-10-18,6,6,23.135,CIN,@,IND,L 27-31,,0,,,0,0,0,4,5%,0,0%,0,0%,
22,2020,2020-10-25,7,7,23.142,CIN,,CLE,L 34-37,,0,,,0,0,0,46,61%,0,0%,4,14%,
23,2020,2020-11-01,8,8,23.149,CIN,,TEN,W 31-20,*,0,,,0,0,0,73,100%,0,0%,5,22%,
24,2020,2020-11-15,9,10,,CIN,@,PIT,L 10-36,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
25,2020,2020-11-22,10,11,,CIN,@,WAS,L 9-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2020,2020-11-29,11,12,,CIN,,NYG,L 17-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
