Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,23.165,PHI,@,WAS,L 17-27,*,50,74%,0,0%,4,12%,
2,2020,2020-09-20,2,2,23.172,PHI,,LAR,L 19-37,,2,3%,0,0%,3,12%,
3,2020,2020-09-27,3,3,23.179,PHI,,CIN,T 23-23,,0,0%,0,0%,6,16%,
4,2020,2020-10-04,4,4,23.186,PHI,@,SFO,W 25-20,,27,44%,0,0%,3,13%,
5,2020,2020-10-11,5,5,23.193,PHI,@,PIT,L 29-38,,27,46%,0,0%,4,15%,
6,2020,2020-10-18,6,6,23.200,PHI,,BAL,L 28-30,*,55,76%,0,0%,1,3%,
7,2020,2020-10-22,7,7,,PHI,,NYG,W 22-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2020,2020-11-01,8,8,,PHI,,DAL,W 23-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2020,2020-11-15,9,10,23.228,PHI,@,NYG,L 17-27,,1,1%,0,0%,1,4%,
10,2020,2020-11-22,10,11,23.235,PHI,@,CLE,L 17-22,,6,9%,0,0%,3,10%,
11,2020,2020-11-30,11,12,23.243,PHI,,SEA,L 17-23,,1,1%,0,0%,2,8%,
12,2020,2020-12-06,12,13,23.249,PHI,@,GNB,L 16-30,*,62,100%,0,0%,3,11%,
13,2020,2020-12-13,13,14,23.256,PHI,,NOR,W 24-21,*,69,100%,0,0%,5,19%,
14,2020,2020-12-20,14,15,,PHI,@,ARI,L 26-33,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2020,2020-12-27,15,16,,PHI,@,DAL,L 17-37,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2020,2021-01-03,16,17,,PHI,,WAS,L 14-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2021,2021-09-12,1,1,,PHI,@,ATL,W 32-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2021,2021-09-19,2,2,,PHI,,SFO,L 11-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2021,2021-09-27,3,3,,PHI,@,DAL,L 21-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2021,2021-10-03,4,4,24.185,PHI,,KAN,L 30-42,*,74,100%,0,0%,0,0%,
21,2021,2021-10-10,5,5,24.192,PHI,@,CAR,W 21-18,*,67,100%,0,0%,0,0%,
22,2021,2021-10-14,6,6,24.196,PHI,,TAM,L 22-28,*,52,100%,0,0%,0,0%,
23,2021,2021-10-24,7,7,24.206,PHI,@,LVR,L 22-33,*,69,100%,0,0%,2,8%,
24,2021,2021-10-31,8,8,24.213,PHI,@,DET,W 44-6,*,5,8%,0,0%,0,0%,
25,2021,2021-11-07,9,9,24.220,PHI,,LAC,L 24-27,*,57,100%,0,0%,4,18%,
26,2021,2021-11-14,10,10,24.227,PHI,@,DEN,W 30-13,*,64,100%,0,0%,6,21%,
27,2021,2021-11-21,11,11,24.234,PHI,,NOR,W 40-29,*,78,100%,0,0%,8,21%,
28,2021,2021-11-28,12,12,24.241,PHI,@,NYG,L 7-13,*,46,69%,0,0%,0,0%,
29,2021,2021-12-05,13,13,,PHI,@,NYJ,W 33-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2021,2021-12-21,14,15,,PHI,,WAS,W 27-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2021,2021-12-26,15,16,,PHI,,NYG,W 34-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2021,2022-01-02,16,17,,PHI,@,WAS,W 20-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2021,2022-01-08,17,18,,PHI,,DAL,L 26-51,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2022,2022-09-11,1,1,25.163,PHI,@,DET,W 38-35,,0,0%,0,0%,6,19%,
35,2022,2022-09-19,2,2,25.171,PHI,,MIN,W 24-7,,0,0%,0,0%,5,24%,
36,2022,2022-09-25,3,3,25.177,PHI,@,WAS,W 24-8,,0,0%,0,0%,4,15%,
37,2022,2022-10-02,4,4,25.184,PHI,,JAX,W 29-21,,76,93%,0,0%,5,21%,
38,2022,2022-10-09,5,5,25.191,PHI,@,ARI,W 20-17,*,73,100%,0,0%,4,16%,
39,2022,2022-10-16,6,6,25.198,PHI,,DAL,W 26-17,,34,48%,0,0%,4,17%,
40,2022,2022-10-30,7,8,25.212,PHI,,PIT,W 35-13,,11,19%,0,0%,5,19%,
41,2022,2022-11-03,8,9,25.216,PHI,@,HOU,W 29-17,,0,0%,0,0%,4,17%,
42,2022,2022-11-14,9,10,25.227,PHI,,WAS,L 21-32,,0,0%,0,0%,3,12%,
43,2022,2022-11-20,10,11,25.233,PHI,@,IND,W 17-16,,0,0%,0,0%,3,12%,
44,2022,2022-11-27,11,12,25.240,PHI,,GNB,W 40-33,,0,0%,0,0%,7,23%,
45,2022,2022-12-04,12,13,25.247,PHI,,TEN,W 35-10,,9,12%,0,0%,6,21%,
46,2022,2022-12-11,13,14,25.254,PHI,@,NYG,W 48-22,,12,18%,0,0%,8,26%,
47,2022,2022-12-18,14,15,25.261,PHI,@,CHI,W 25-20,,0,0%,0,0%,4,16%,
48,2022,2022-12-24,15,16,25.267,PHI,@,DAL,L 34-40,,11,15%,0,0%,6,19%,
49,2022,2023-01-01,16,17,25.275,PHI,,NOR,L 10-20,*,55,100%,0,0%,2,8%,
50,2022,2023-01-08,17,18,25.282,PHI,,NYG,W 22-16,*,73,100%,0,0%,6,21%,
51,2023,2023-09-10,1,1,26.162,PHI,@,NWE,W 25-20,,0,0%,0,0%,6,21%,
52,2023,2023-09-14,2,2,26.166,PHI,,MIN,W 34-28,,0,0%,0,0%,7,24%,
53,2023,2023-09-25,3,3,26.177,PHI,@,TAM,W 25-11,,0,0%,0,0%,5,25%,
54,2023,2023-10-01,4,4,26.183,PHI,,WAS,W 34-31,,0,0%,0,0%,6,19%,
55,2023,2023-10-08,5,5,26.190,PHI,@,LAR,W 23-14,,0,0%,0,0%,5,25%,
56,2023,2023-10-15,6,6,26.197,PHI,@,NYJ,L 14-20,,61,87%,0,0%,3,14%,
57,2023,2023-10-22,7,7,26.204,PHI,,MIA,W 31-17,,0,0%,0,0%,5,23%,
58,2023,2023-10-29,8,8,26.211,PHI,@,WAS,W 38-31,,2,3%,0,0%,6,21%,
59,2023,2023-11-05,9,9,26.218,PHI,,DAL,W 28-23,,1,2%,0,0%,4,17%,
60,2023,2023-11-20,10,11,26.233,PHI,@,KAN,W 21-17,,3,5%,0,0%,3,12%,
61,2023,2023-11-26,11,12,26.239,PHI,,BUF,W 37-34,*,66,100%,0,0%,5,14%,
62,2023,2023-12-03,12,13,26.246,PHI,,SFO,L 19-42,,0,0%,0,0%,3,12%,
63,2023,2023-12-10,13,14,26.253,PHI,@,DAL,L 13-33,,2,4%,0,0%,3,12%,
64,2023,2023-12-18,14,15,26.261,PHI,@,SEA,L 17-20,,0,0%,0,0%,3,11%,
65,2023,2023-12-25,15,16,26.268,PHI,,NYG,W 33-25,,0,0%,0,0%,7,24%,
66,2023,2023-12-31,16,17,26.274,PHI,,ARI,L 31-35,,0,0%,0,0%,5,20%,
