Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.159,PHI,@,NWE,W 25-20,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,50%,0,0%,
2,2023,2023-09-14,2,2,22.163,PHI,,MIN,W 34-28,,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,48%,2,7%,
3,2023,2023-09-25,3,3,22.174,PHI,@,TAM,W 25-11,,0,0,0.5,1,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0%,21,45%,0,0%,
4,2023,2023-10-01,4,4,22.180,PHI,,WAS,W 34-31,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,46%,1,3%,
5,2023,2023-10-08,5,5,22.187,PHI,@,LAR,W 23-14,,0,0,2.0,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,39,70%,0,0%,
6,2023,2023-10-15,6,6,,PHI,@,NYJ,L 14-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-22,7,7,22.201,PHI,,MIA,W 31-17,,0,0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,19,39%,3,14%,
8,2023,2023-10-29,8,8,22.208,PHI,@,WAS,W 38-31,,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,17,24%,3,11%,
9,2023,2023-11-05,9,9,22.215,PHI,,DAL,W 28-23,,0,0,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,51,68%,4,17%,
10,2023,2023-11-20,10,11,22.230,PHI,@,KAN,W 21-17,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,54%,4,15%,
11,2023,2023-11-26,11,12,22.236,PHI,,BUF,W 37-34,,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,76,80%,9,25%,
12,2023,2023-12-03,12,13,22.243,PHI,,SFO,L 19-42,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,64%,6,23%,
13,2023,2023-12-10,13,14,22.250,PHI,@,DAL,L 13-33,,1,6,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,42,1,0,0%,35,43%,7,28%,
14,2023,2023-12-18,14,15,22.258,PHI,@,SEA,L 17-20,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,28,46%,4,15%,
15,2023,2023-12-25,15,16,22.265,PHI,,NYG,W 33-25,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,33%,3,10%,
16,2023,2023-12-31,16,17,22.271,PHI,,ARI,L 31-35,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,47%,5,20%,
17,2023,2024-01-07,17,18,22.278,PHI,@,NYG,L 10-27,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,52%,7,27%,
18,2024,2024-09-06,1,1,23.155,PHI,,GNB,W 34-29,*,0,0,0.0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,51,76%,8,26%,
19,2024,2024-09-16,2,2,23.165,PHI,,ATL,L 21-22,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,75%,4,18%,
20,2024,2024-09-22,3,3,23.171,PHI,@,NOR,W 15-12,*,0,0,0.0,3,1,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0%,50,89%,4,24%,
21,2024,2024-09-29,4,4,23.178,PHI,@,TAM,L 16-33,*,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,68%,5,19%,
22,2024,2024-10-13,5,6,23.192,PHI,,CLE,W 20-16,*,0,0,1.0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,43,75%,5,19%,
23,2024,2024-10-20,6,7,23.199,PHI,@,NYG,W 28-3,*,0,0,2.0,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,46,79%,2,6%,
24,2024,2024-10-27,7,8,23.206,PHI,@,CIN,W 37-17,*,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,78%,3,13%,
25,2024,2024-11-03,8,9,23.213,PHI,,JAX,W 28-23,*,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,96%,3,13%,
26,2024,2024-11-10,9,10,23.220,PHI,@,DAL,W 34-6,*,0,0,0.5,2,2,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,43,72%,2,7%,
27,2024,2024-11-14,10,11,23.224,PHI,,WAS,W 26-18,*,0,0,0.0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,3,11%,
