Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-06,1.0,1.0,,PHI,,GNB,W 34-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2.0,2024.0,2024-09-16,2.0,2.0,23.187,PHI,,ATL,L 21-22,,,,,,,,,,,,,,,,,,0,0%,0,0%,13,59%,
3.0,2024.0,2024-09-22,3.0,3.0,23.193,PHI,@,NOR,W 15-12,,,,,,,,,,,,,,,,,,0,0%,0,0%,9,54%,
4.0,2024.0,2024-09-29,4.0,4.0,23.2,PHI,@,TAM,L 16-33,,,,,,,,,,,,,,,,,,0,0%,5,6%,19,70%,
5.0,2024.0,2024-10-13,5.0,6.0,23.214,PHI,,CLE,W 20-16,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,63%,
6.0,2024.0,2024-10-20,6.0,7.0,23.221,PHI,@,NYG,W 28-3,,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,9,16%,26,81%,
7.0,2024.0,2024-10-27,7.0,8.0,23.228,PHI,@,CIN,W 37-17,,,,,,,,,,,,,,,,,,0,0%,3,5%,13,54%,
8.0,2024.0,2024-11-03,8.0,9.0,23.235,PHI,,JAX,W 28-23,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,70%,
9.0,2024.0,2024-11-10,9.0,10.0,23.242,PHI,@,DAL,W 34-6,,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,25,42%,20,71%,
10.0,2024.0,2024-11-14,10.0,11.0,23.246,PHI,,WAS,W 26-18,,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,16,59%,
