Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-06,1.0,1.0,23.156,PHI,,GNB,W 34-29,,1.0,0.0,0.0,,0.0,0.0%,0.0,0,0,10.0,13%,0.0,0%,7.0,23%
2.0,2024.0,2024-09-16,2.0,2.0,23.166,PHI,,ATL,L 21-22,,1.0,0.0,0.0,,0.0,0.0%,0.0,0,0,19.0,27%,0.0,0%,0.0,0%
3.0,2024.0,2024-09-22,3.0,3.0,23.172,PHI,@,NOR,W 15-12,*,2.0,1.0,9.0,9.0,0.0,50.0%,4.5,0,0,24.0,33%,0.0,0%,4.0,24%
4.0,2024.0,2024-09-29,4.0,4.0,23.179,PHI,@,TAM,L 16-33,*,2.0,0.0,0.0,,0.0,0.0%,0.0,0,0,32.0,56%,0.0,0%,6.0,22%
5.0,2024.0,2024-10-13,5.0,6.0,23.193,PHI,,CLE,W 20-16,,,,,,,0.0%,,0,0,4.0,6%,0.0,0%,9.0,33%
6.0,2024.0,2024-10-20,6.0,7.0,23.2,PHI,@,NYG,W 28-3,,,,,,,0.0%,,0,0,11.0,17%,0.0,0%,2.0,6%
7.0,2024.0,2024-10-27,7.0,8.0,23.207,PHI,@,CIN,W 37-17,,,,,,,0.0%,,0,0,6.0,10%,0.0,0%,4.0,17%
8.0,2024.0,2024-11-03,8.0,9.0,23.214,PHI,,JAX,W 28-23,,0.0,0.0,0.0,,0.0,0.0%,,0,0,35.0,44%,0.0,0%,5.0,22%
9.0,2024.0,2024-11-10,9.0,10.0,23.221,PHI,@,DAL,W 34-6,,1.0,1.0,5.0,5.0,1.0,100.0%,5.0,1,6,18.0,26%,0.0,0%,3.0,11%
10.0,2024.0,2024-11-14,10.0,11.0,23.225,PHI,,WAS,W 26-18,,,,,,,0.0%,,0,0,13.0,18%,0.0,0%,7.0,26%
