Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,22.242,PHI,@,DET,W 38-35,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,32%,5,16%,
2,2022,2022-09-19,2,2,22.250,PHI,,MIN,W 24-7,,,,,,,,,,,,,,,,,,0,0%,21,34%,1,5%,
3,2022,2022-09-25,3,3,22.256,PHI,@,WAS,W 24-8,*,0.0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,24,31%,1,4%,
4,2022,2022-10-02,4,4,22.263,PHI,,JAX,W 29-21,*,0.0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,36%,8,33%,
5,2022,2022-10-09,5,5,22.270,PHI,@,ARI,W 20-17,*,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,42%,8,32%,
6,2022,2022-10-16,6,6,22.277,PHI,,DAL,W 26-17,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,33%,8,33%,
7,2022,2022-10-30,7,8,22.291,PHI,,PIT,W 35-13,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,25%,4,15%,
8,2022,2022-11-14,9,10,,PHI,,WAS,L 21-32,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2022,2022-11-20,10,11,,PHI,@,IND,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2022,2022-11-27,11,12,,PHI,,GNB,W 40-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2022,2022-12-04,12,13,22.326,PHI,,TEN,W 35-10,,,,,,,,,,,,,,,,,,0,0%,6,11%,7,24%,
12,2022,2022-12-11,13,14,22.333,PHI,@,NYG,W 48-22,,,,,,,,,,,,,,,,,,0,0%,15,23%,10,32%,
13,2022,2022-12-18,14,15,22.340,PHI,@,CHI,W 25-20,,,,,,,,,,,,,,,,,,0,0%,14,24%,7,28%,
14,2022,2022-12-24,15,16,22.346,PHI,@,DAL,L 34-40,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,12%,5,16%,
15,2022,2023-01-01,16,17,22.354,PHI,,NOR,L 10-20,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,26%,6,23%,
16,2022,2023-01-08,17,18,22.361,PHI,,NYG,W 22-16,,,,,,,,,,,,,,,,,,0,0%,8,13%,9,32%,
17,2023,2023-09-10,1,1,23.241,PHI,@,NWE,W 25-20,*,0.5,3,3,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,35,44%,9,31%,
18,2023,2023-09-14,2,2,23.245,PHI,,MIN,W 34-28,*,1.0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,17,29%,8,28%,
19,2023,2023-09-25,3,3,23.256,PHI,@,TAM,W 25-11,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,45%,6,30%,
20,2023,2023-10-01,4,4,23.262,PHI,,WAS,W 34-31,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,37%,10,32%,
21,2023,2023-10-08,5,5,23.269,PHI,@,LAR,W 23-14,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,41%,7,35%,
22,2023,2023-10-15,6,6,23.276,PHI,@,NYJ,L 14-20,*,0.5,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,68%,6,27%,
