Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-06,,1,,PHI,,ATL,W 18-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2018,2018-09-16,,2,,PHI,@,TAM,L 21-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2018,2018-09-23,,3,,PHI,,IND,W 20-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2018,2018-09-30,,4,,PHI,@,TEN,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2018,2018-10-07,5,5,21.192,PHI,,MIN,L 21-23,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,8,13%,7,26%,
6,2018,2018-10-11,6,6,21.196,PHI,@,NYG,W 34-13,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,7,11%,4,12%,
7,2018,2018-10-21,7,7,21.206,PHI,,CAR,L 17-21,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,1,5%,
8,2018,2018-10-28,8,8,21.213,PHI,@,JAX,W 24-18,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,4,17%,
9,2018,2018-11-11,9,10,21.227,PHI,,DAL,L 20-27,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,6,9%,0,0%,
10,2018,2018-11-18,10,11,21.234,PHI,@,NOR,L 7-48,,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,20,29%,0,0%,
11,2018,2018-11-25,11,12,21.241,PHI,,NYG,W 25-22,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,11,18%,3,12%,
12,2018,2018-12-03,12,13,21.249,PHI,,WAS,W 28-13,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,6,13%,4,16%,
13,2018,2018-12-09,13,14,21.255,PHI,@,DAL,L 23-29,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,6,6%,1,3%,
