Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2013,2013-09-09,1,1,23.124,PHI,@,WAS,W 33-27,*,0,,,,,0.0%,,0,0,0,,,0,0,0,80,100%,0,0%,5,16%,
2,2013,2013-09-15,2,2,23.130,PHI,,SDG,L 30-33,*,0,,,,,0.0%,,0,0,0,,,0,0,0,59,100%,0,0%,8,24%,
3,2013,2013-09-19,3,3,23.134,PHI,,KAN,L 16-26,*,,,,,,0.0%,,0,0,0,,,0,0,0,65,100%,0,0%,4,13%,
4,2013,2013-09-29,4,4,23.144,PHI,@,DEN,L 20-52,*,0,,,,,0.0%,,0,0,0,,,0,0,0,71,100%,0,0%,5,15%,
5,2013,2013-10-06,5,5,23.151,PHI,@,NYG,W 36-21,*,0,,,,,0.0%,,0,0,0,,,0,0,0,80,99%,0,0%,8,22%,
6,2013,2013-10-13,6,6,23.158,PHI,@,TAM,W 31-20,*,,,,,,0.0%,,0,0,0,,,0,0,0,68,100%,0,0%,5,17%,
7,2013,2013-10-20,7,7,23.165,PHI,,DAL,L 3-17,*,,,,,,0.0%,,0,0,0,,,0,0,0,80,100%,0,0%,2,7%,
8,2013,2013-10-27,8,8,23.172,PHI,,NYG,L 7-15,*,,,,,,0.0%,,0,0,0,,,0,0,0,61,100%,0,0%,1,4%,
9,2013,2013-11-03,9,9,23.179,PHI,@,OAK,W 49-20,*,,,,,,0.0%,,0,0,0,,,0,0,0,59,100%,0,0%,7,18%,
10,2013,2013-11-10,10,10,23.186,PHI,@,GNB,W 27-13,*,0,,,,,0.0%,,0,0,0,,,0,0,0,61,100%,0,0%,6,24%,
11,2013,2013-11-17,11,11,23.193,PHI,,WAS,W 24-16,*,0,,,,,0.0%,,0,0,0,,,0,0,0,66,100%,0,0%,4,17%,
12,2013,2013-12-01,12,13,23.207,PHI,,ARI,W 24-21,*,,,,,,0.0%,,0,0,0,,,0,0,0,77,100%,0,0%,4,14%,
13,2013,2013-12-08,13,14,23.214,PHI,,DET,W 34-20,*,,,,,,0.0%,,0,0,0,,,0,0,0,75,100%,0,0%,1,4%,
14,2013,2013-12-15,14,15,23.221,PHI,@,MIN,L 30-48,*,,,,,,0.0%,,0,0,0,,,0,0,0,69,100%,0,0%,4,11%,
15,2013,2013-12-22,15,16,23.228,PHI,,CHI,W 54-11,*,,,,,,0.0%,,0,0,0,,,0,0,0,64,100%,0,0%,8,28%,
16,2013,2013-12-29,16,17,23.235,PHI,@,DAL,W 24-22,*,0,,,,,0.0%,,0,0,0,,,0,0,0,67,100%,0,0%,4,15%,
17,2014,2014-09-07,,1,,PHI,,JAX,W 34-17,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
18,2014,2014-09-15,,2,,PHI,@,IND,W 30-27,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
19,2014,2014-09-21,,3,,PHI,,WAS,W 37-34,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
20,2014,2014-09-28,,4,,PHI,@,SFO,L 21-26,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
21,2014,2014-10-05,5,5,24.150,PHI,,STL,W 34-28,*,,,,,,0.0%,,0,0,0,,,0,0,0,73,100%,0,0%,6,19%,
22,2014,2014-10-12,6,6,24.157,PHI,,NYG,W 27-0,*,0,,,,,0.0%,,0,0,0,,,0,0,0,72,100%,0,0%,5,18%,
23,2014,2014-10-26,7,8,24.171,PHI,@,ARI,L 20-24,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,92,100%,0,0%,4,12%,
24,2014,2014-11-02,8,9,24.178,PHI,@,HOU,W 31-21,*,0,,,,,0.0%,,0,0,0,,,0,0,0,83,100%,0,0%,5,19%,
25,2014,2014-11-10,9,10,24.186,PHI,,CAR,W 45-21,*,,,,,,0.0%,,0,0,0,,,0,0,0,62,100%,0,0%,7,19%,
26,2014,2014-11-16,10,11,24.192,PHI,@,GNB,L 20-53,*,0,,,,,0.0%,,0,0,0,,,0,0,0,78,100%,0,0%,4,12%,
27,2014,2014-11-23,11,12,24.199,PHI,,TEN,W 43-24,*,0,,,,,0.0%,,0,0,0,,,0,0,0,88,100%,0,0%,10,26%,
28,2014,2014-11-27,12,13,24.203,PHI,@,DAL,W 33-10,*,,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,77,100%,0,0%,7,25%,
29,2014,2014-12-07,13,14,24.213,PHI,,SEA,L 14-24,*,,,,,,0.0%,,0,0,0,,,0,0,0,46,100%,0,0%,2,7%,
30,2014,2014-12-14,14,15,24.220,PHI,,DAL,L 27-38,*,,,,,,0.0%,,0,0,0,,,0,0,0,55,100%,0,0%,5,16%,
31,2014,2014-12-20,15,16,24.226,PHI,@,WAS,L 24-27,*,0,,,,,0.0%,,0,0,0,,,0,0,0,90,100%,0,0%,6,22%,
