Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,PHI,@,NWE,W 25-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-14,2,2,,PHI,,MIN,W 34-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2023,2023-09-25,3,3,,PHI,@,TAM,W 25-11,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2023,2023-10-01,4,4,,PHI,,WAS,W 34-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-08,5,5,22.054,PHI,@,LAR,W 23-14,,,,,,,,0,0%,4,7%,1,5%,
6,2023,2023-10-15,6,6,22.061,PHI,@,NYJ,L 14-20,,,,,,,,0,0%,5,8%,1,5%,
7,2023,2023-10-22,7,7,,PHI,,MIA,W 31-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-10-29,8,8,,PHI,@,WAS,W 38-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2023,2023-11-05,9,9,,PHI,,DAL,W 28-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2023,2023-11-20,10,11,,PHI,@,KAN,W 21-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2023,2023-11-26,11,12,22.103,PHI,,BUF,W 37-34,,,,,,,,0,0%,1,1%,9,25%,
12,2023,2023-12-03,12,13,22.110,PHI,,SFO,L 19-42,,,,,,,,0,0%,1,2%,0,0%,
13,2023,2023-12-10,13,14,,PHI,@,DAL,L 13-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2023,2023-12-18,14,15,22.125,PHI,@,SEA,L 17-20,,,,,,,,0,0%,6,10%,0,0%,
15,2023,2023-12-25,15,16,22.132,PHI,,NYG,W 33-25,,,,,,,,0,0%,1,2%,0,0%,
16,2023,2023-12-31,16,17,22.138,PHI,,ARI,L 31-35,,0.0,1,0,1,0,0,0,0%,13,17%,5,20%,
17,2023,2024-01-07,17,18,22.145,PHI,@,NYG,L 10-27,,0.0,1,1,2,0,0,0,0%,37,55%,0,0%,
18,2024,2024-09-06,1,1,23.022,PHI,,GNB,W 34-29,,0.0,0,0,0,0,1,0,0%,14,21%,7,23%,
19,2024,2024-09-16,2,2,23.032,PHI,,ATL,L 21-22,,0.0,0,1,1,0,0,0,0%,17,28%,4,18%,
20,2024,2024-09-22,3,3,23.038,PHI,@,NOR,W 15-12,,,,,,,,0,0%,16,29%,4,24%,
21,2024,2024-09-29,4,4,23.045,PHI,@,TAM,L 16-33,,0.0,0,1,1,0,0,0,0%,37,48%,6,22%,
22,2024,2024-10-13,5,6,23.059,PHI,,CLE,W 20-16,,0.0,0,0,0,0,0,0,0%,21,37%,5,19%,
23,2024,2024-10-20,6,7,23.066,PHI,@,NYG,W 28-3,,0.0,1,0,1,0,0,0,0%,22,38%,4,13%,
24,2024,2024-10-27,7,8,23.073,PHI,@,CIN,W 37-17,,0.0,1,0,1,0,0,0,0%,25,43%,4,17%,
25,2024,2024-11-03,8,9,23.080,PHI,,JAX,W 28-23,,,,,,,,0,0%,16,30%,1,4%,
26,2024,2024-11-10,9,10,23.087,PHI,@,DAL,W 34-6,,0.0,1,0,1,0,0,0,0%,27,45%,3,11%,
27,2024,2024-11-14,10,11,23.091,PHI,,WAS,W 26-18,,0.0,1,0,1,0,0,0,0%,20,30%,2,7%,
