Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.285,NYG,@,DAL,L 17-35,,5,7%,0,0%,3,12%,
2,2019,2019-09-15,2,2,23.292,NYG,,BUF,L 14-28,,0,0%,0,0%,3,11%,
3,2019,2019-09-22,3,3,23.299,NYG,@,TAM,W 32-31,,0,0%,0,0%,4,12%,
4,2019,2019-09-29,4,4,23.306,NYG,,WAS,W 24-3,,5,6%,0,0%,4,20%,
5,2019,2019-10-06,5,5,23.313,NYG,,MIN,L 10-28,,1,1%,0,0%,3,13%,
6,2019,2019-10-10,6,6,23.317,NYG,@,NWE,L 14-35,,0,0%,0,0%,2,8%,
7,2019,2019-10-20,7,7,23.327,NYG,,ARI,L 21-27,,0,0%,0,0%,4,14%,
8,2019,2019-10-27,8,8,23.334,NYG,@,DET,L 26-31,,2,3%,0,0%,3,12%,
9,2019,2019-11-04,9,9,23.342,NYG,,DAL,L 18-37,,2,3%,0,0%,5,16%,
10,2019,2019-11-10,10,10,23.348,NYG,@,NYJ,L 27-34,*,69,100%,0,0%,3,9%,
11,2019,2019-11-24,11,12,23.362,NYG,@,CHI,L 14-19,,3,5%,0,0%,4,15%,
12,2019,2019-12-01,12,13,24.004,NYG,,GNB,L 13-31,,2,3%,0,0%,3,14%,
13,2019,2019-12-09,13,14,24.012,NYG,@,PHI,L 17-23,,6,12%,0,0%,3,9%,
14,2019,2019-12-15,14,15,24.018,NYG,,MIA,W 36-20,*,67,100%,0,0%,5,17%,
15,2019,2019-12-22,15,16,24.025,NYG,@,WAS,W 41-35,,53,76%,0,0%,6,18%,
16,2019,2019-12-29,16,17,24.032,NYG,,PHI,L 17-34,*,74,100%,0,0%,3,9%,
17,2020,2020-09-14,1,1,24.292,NYG,,PIT,L 16-26,*,68,100%,0,0%,2,8%,
18,2020,2020-09-20,2,2,24.298,NYG,@,CHI,L 13-17,*,65,100%,0,0%,4,18%,
19,2020,2020-09-27,3,3,24.305,NYG,,SFO,L 9-36,*,52,100%,0,0%,3,13%,
20,2020,2020-10-04,4,4,24.312,NYG,@,LAR,L 9-17,*,68,100%,0,0%,3,13%,
21,2020,2020-10-11,5,5,24.319,NYG,@,DAL,L 34-37,*,68,100%,0,0%,7,21%,
