Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,GNB,,CHI,W 24-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2018,2018-09-16,,2,,GNB,,MIN,T 29-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2018,2018-09-23,3,3,23.186,GNB,@,WAS,L 17-31,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,13%,10,34%,
4,2018,2018-09-30,4,4,23.193,GNB,,BUF,W 22-0,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,34%,6,26%,
5,2018,2018-10-07,5,5,23.200,GNB,@,DET,L 23-31,*,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,40%,16,57%,
6,2018,2018-10-15,6,6,23.208,GNB,,SFO,W 33-30,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,49%,20,61%,
7,2018,2018-10-28,7,8,23.221,GNB,@,LAR,L 27-29,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,10%,26,76%,
8,2018,2018-11-04,8,9,23.228,GNB,@,NWE,L 17-31,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,21%,19,70%,
9,2018,2018-11-11,9,10,23.235,GNB,,MIA,W 31-12,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,62%,
10,2018,2018-11-15,10,11,23.239,GNB,@,SEA,L 24-27,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,68%,
