Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,PHI,@,NWE,W 25-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-14,2,2,,PHI,,MIN,W 34-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2023,2023-09-25,3,3,,PHI,@,TAM,W 25-11,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2023,2023-10-01,4,4,,PHI,,WAS,W 34-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-08,5,5,23.106,PHI,@,LAR,W 23-14,,,,,,,,0,0%,0,0%,5,25%,
6,2023,2023-10-15,6,6,23.113,PHI,@,NYJ,L 14-20,,,,,,,,0,0%,0,0%,3,14%,
7,2023,2023-10-22,7,7,23.120,PHI,,MIA,W 31-17,,,,,,,,0,0%,0,0%,5,23%,
8,2023,2023-10-29,8,8,23.127,PHI,@,WAS,W 38-31,,,,,,,,6,10%,0,0%,6,21%,
9,2023,2023-11-05,9,9,23.134,PHI,,DAL,W 28-23,*,0,0,0,1,0,0,62,100%,0,0%,4,17%,
10,2023,2023-11-20,10,11,23.149,PHI,@,KAN,W 21-17,,,,,,,,0,0%,0,0%,3,12%,
11,2023,2023-11-26,11,12,23.155,PHI,,BUF,W 37-34,,,,,,,,0,0%,0,0%,5,14%,
12,2023,2023-12-03,12,13,23.162,PHI,,SFO,L 19-42,,,,,,,,0,0%,0,0%,3,12%,
13,2023,2023-12-10,13,14,23.169,PHI,@,DAL,L 13-33,,,,,,,,2,4%,0,0%,3,12%,
14,2023,2023-12-18,14,15,23.177,PHI,@,SEA,L 17-20,,,,,,,,1,1%,0,0%,3,11%,
15,2023,2023-12-25,15,16,23.184,PHI,,NYG,W 33-25,,,,,,,,0,0%,0,0%,7,24%,
16,2023,2023-12-31,16,17,,PHI,,ARI,L 31-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2023,2024-01-07,17,18,,PHI,@,NYG,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2024,2024-09-06,1,1,24.074,PHI,,GNB,W 34-29,,,,,,,,0,0%,0,0%,6,19%,
19,2024,2024-09-16,2,2,24.084,PHI,,ATL,L 21-22,,,,,,,,0,0%,0,0%,3,14%,
20,2024,2024-09-22,3,3,24.090,PHI,@,NOR,W 15-12,,,,,,,,58,80%,0,0%,2,12%,
21,2024,2024-09-29,4,4,24.097,PHI,@,TAM,L 16-33,,,,,,,,7,12%,0,0%,2,7%,
22,2024,2024-10-13,5,6,24.111,PHI,,CLE,W 20-16,,,,,,,,1,2%,0,0%,5,19%,
23,2024,2024-10-20,6,7,24.118,PHI,@,NYG,W 28-3,,,,,,,,51,77%,0,0%,4,13%,
24,2024,2024-10-27,7,8,24.125,PHI,@,CIN,W 37-17,*,,,,,,,59,97%,0,0%,7,29%,
25,2024,2024-11-03,8,9,24.132,PHI,,JAX,W 28-23,,,,,,,,0,0%,0,0%,4,17%,
26,2024,2024-11-10,9,10,24.139,PHI,@,DAL,W 34-6,,,,,,,,14,21%,0,0%,6,21%,
27,2024,2024-11-14,10,11,24.143,PHI,,WAS,W 26-18,,,,,,,,8,11%,0,0%,7,26%,
