Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.231,ATL,,NOR,L 26-27,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,43%,6,19%,
2,2022,2022-09-18,2,2,23.238,ATL,@,LAR,L 27-31,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,52%,0,0%,
3,2022,2022-09-25,3,3,23.245,ATL,@,SEA,W 27-23,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,61%,0,0%,
4,2022,2022-10-02,4,4,23.252,ATL,,CLE,W 23-20,,0.0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0%,31,42%,0,0%,
5,2022,2022-10-09,5,5,23.259,ATL,@,TAM,L 15-21,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,51%,1,5%,
6,2022,2022-10-16,6,6,23.266,ATL,,SFO,W 28-14,*,0.0,3,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0%,49,82%,0,0%,
7,2022,2022-10-23,7,7,23.273,ATL,@,CIN,L 17-35,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,53%,0,0%,
8,2022,2022-10-30,8,8,23.280,ATL,,CAR,W 37-34,,0.0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,54,68%,0,0%,
9,2022,2022-11-06,9,9,23.287,ATL,,LAC,L 17-20,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,57%,0,0%,
10,2022,2022-11-10,10,10,23.291,ATL,@,CAR,L 15-25,,0.5,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,55%,0,0%,
11,2022,2022-11-20,11,11,23.301,ATL,,CHI,W 27-24,,1.0,5,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,52%,0,0%,
12,2022,2022-11-27,12,12,23.308,ATL,@,WAS,L 13-19,,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,9,15%,0,0%,
13,2022,2022-12-04,13,13,,ATL,,PIT,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2022,2022-12-18,14,15,23.329,ATL,@,NOR,L 18-21,,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,20,36%,0,0%,
15,2022,2022-12-24,15,16,23.335,ATL,@,BAL,L 9-17,,,,,,,,,,,,,,,,,,0,0%,15,29%,0,0%,
16,2022,2023-01-01,16,17,23.343,ATL,,ARI,W 20-19,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,42%,0,0%,
17,2022,2023-01-08,17,18,23.350,ATL,,TAM,W 30-17,,,,,,,,,,,,,,,,,,0,0%,18,33%,0,0%,
18,2023,2023-09-10,1,1,24.230,ATL,,CAR,W 24-10,,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,18,23%,5,19%,
