Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,ATL,,PIT,L 10-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2.0,2024.0,2024-09-16,2.0,2.0,,ATL,@,PHI,W 22-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,23.2,ATL,,KAN,L 17-22,,,,,,,0.0%,,0,0%,0,0%,2,8%,
4.0,2024.0,2024-09-29,4.0,4.0,,ATL,,NOR,W 26-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5.0,2024.0,2024-10-03,5.0,5.0,23.211,ATL,,TAM,W 36-30,,,,,,,0.0%,,0,0%,0,0%,6,19%,
6.0,2024.0,2024-10-13,6.0,6.0,,ATL,@,CAR,W 38-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7.0,2024.0,2024-10-20,7.0,7.0,23.228,ATL,,SEA,L 14-34,,1,1,14,14.00,0,100.0%,14.00,7,10%,0,0%,7,27%,
8.0,2024.0,2024-10-27,8.0,8.0,23.235,ATL,@,TAM,W 31-26,,,,,,,0.0%,,0,0%,0,0%,5,19%,
9.0,2024.0,2024-11-03,9.0,9.0,23.242,ATL,,DAL,W 27-21,,,,,,,0.0%,,0,0%,0,0%,5,19%,
10.0,2024.0,2024-11-10,10.0,10.0,23.249,ATL,@,NOR,L 17-20,,,,,,,0.0%,,0,0%,0,0%,6,22%,
11.0,2024.0,2024-11-17,11.0,11.0,23.256,ATL,@,DEN,L 6-38,,1,0,0,,0,0.0%,0.00,2,3%,0,0%,11,42%,
