Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.192,ATL,@,MIN,L 12-28,*,,,,,,,45,61%,0,0%,0,0%,
2,2019,2019-09-15,,2,,ATL,,PHI,W 24-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
3,2019,2019-09-22,,3,,ATL,@,IND,L 24-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
4,2019,2019-09-29,,4,,ATL,,TEN,L 10-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
5,2019,2019-10-06,,5,,ATL,@,HOU,L 32-53,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
6,2019,2019-10-13,,6,,ATL,@,ARI,L 33-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
7,2019,2019-10-20,,7,,ATL,,LAR,L 10-37,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,2019,2019-10-27,,8,,ATL,,SEA,L 20-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,2019,2019-11-10,,10,,ATL,@,NOR,W 26-9,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,2019,2019-11-17,,11,,ATL,@,CAR,W 29-3,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,2019,2019-11-24,,12,,ATL,,TAM,L 22-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,2019,2019-11-28,,13,,ATL,,NOR,L 18-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,2019,2019-12-08,13,14,22.283,ATL,,CAR,W 40-20,*,,,,,,,33,48%,0,0%,8,24%,
14,2019,2019-12-15,14,15,22.290,ATL,@,SFO,W 29-22,*,,,,,,,67,100%,0,0%,3,10%,
15,2019,2019-12-22,15,16,22.297,ATL,,JAX,W 24-12,*,,,,,,,75,100%,0,0%,5,20%,
16,2019,2019-12-29,16,17,22.304,ATL,@,TAM,W 28-22,*,,,,,,,89,100%,0,0%,6,21%,
17,2020,2020-09-13,1,1,23.198,ATL,,SEA,L 25-38,*,,,,,,,80,100%,0,0%,4,14%,
18,2020,2020-09-20,2,2,23.205,ATL,@,DAL,L 39-40,*,,,,,,,75,100%,0,0%,8,22%,
19,2020,2020-09-27,3,3,23.212,ATL,,CHI,L 26-30,*,,,,,,,68,100%,0,0%,6,17%,
20,2020,2020-10-05,4,4,23.220,ATL,@,GNB,L 16-30,*,,,,,,,70,100%,0,0%,3,13%,
21,2020,2020-10-11,5,5,23.226,ATL,,CAR,L 16-23,*,,,,,,,65,100%,0,0%,4,15%,
22,2020,2020-10-18,6,6,23.233,ATL,@,MIN,W 40-23,*,,,,,,,80,100%,0,0%,8,28%,
23,2020,2020-10-25,7,7,23.240,ATL,,DET,L 22-23,*,,,,,,,75,100%,0,0%,2,9%,
24,2020,2020-10-29,8,8,23.244,ATL,@,CAR,W 25-17,*,,,,,,,70,100%,0,0%,6,25%,
25,2020,2020-11-08,9,9,23.254,ATL,,DEN,W 34-27,*,,,,,,,71,100%,0,0%,6,17%,
26,2020,2020-11-22,10,11,23.268,ATL,@,NOR,L 9-24,*,0.0,0,0,0,0,0,62,100%,0,0%,3,11%,
27,2020,2020-11-29,11,12,23.275,ATL,,LVR,W 43-6,*,,,,,,,78,100%,0,0%,10,30%,
28,2020,2020-12-06,12,13,23.282,ATL,,NOR,L 16-21,*,,,,,,,67,100%,0,0%,4,15%,
29,2020,2020-12-13,13,14,23.289,ATL,@,LAC,L 17-20,*,,,,,,,57,100%,0,0%,3,14%,
30,2020,2020-12-20,14,15,23.296,ATL,,TAM,L 27-31,*,,,,,,,65,100%,0,0%,5,15%,
31,2020,2020-12-27,15,16,23.303,ATL,@,KAN,L 14-17,*,,,,,,,68,100%,0,0%,3,14%,
32,2020,2021-01-03,16,17,23.310,ATL,@,TAM,L 27-44,*,,,,,,,72,100%,0,0%,5,18%,
33,2021,2021-09-12,1,1,24.196,ATL,,PHI,L 6-32,*,,,,,,,70,97%,0,0%,2,8%,
34,2021,2021-09-19,2,2,24.203,ATL,@,TAM,L 25-48,*,,,,,,,72,100%,0,0%,3,10%,
35,2021,2021-09-26,3,3,24.210,ATL,@,NYG,W 17-14,*,,,,,,,62,100%,0,0%,3,13%,
36,2021,2021-10-03,4,4,24.217,ATL,,WAS,L 30-34,*,,,,,,,76,100%,0,0%,4,15%,
37,2021,2021-10-10,5,5,24.224,ATL,,NYJ,W 27-20,*,,,,,,,78,100%,0,0%,5,21%,
38,2021,2021-10-24,6,7,24.238,ATL,@,MIA,W 30-28,*,,,,,,,63,100%,0,0%,6,21%,
39,2021,2021-10-31,7,8,24.245,ATL,,CAR,L 13-19,*,,,,,,,53,100%,0,0%,4,15%,
40,2021,2021-11-07,8,9,24.252,ATL,@,NOR,W 27-25,*,,,,,,,59,100%,0,0%,5,19%,
41,2021,2021-11-14,9,10,24.259,ATL,@,DAL,L 3-43,*,0.0,1,0,1,0,0,42,78%,0,0%,1,4%,
42,2021,2021-11-18,10,11,24.263,ATL,,NWE,L 0-25,*,,,,,,,54,100%,0,0%,2,8%,
43,2021,2021-11-28,11,12,24.273,ATL,@,JAX,W 21-14,*,,,,,,,60,100%,0,0%,4,18%,
44,2021,2021-12-05,12,13,24.280,ATL,,TAM,L 17-30,*,,,,,,,71,100%,0,0%,3,12%,
45,2021,2021-12-12,13,14,24.287,ATL,@,CAR,W 29-21,*,,,,,,,69,100%,0,0%,5,22%,
46,2021,2021-12-19,14,15,24.294,ATL,@,SFO,L 13-31,*,,,,,,,59,98%,0,0%,3,13%,
47,2021,2021-12-26,15,16,24.301,ATL,,DET,W 20-16,*,,,,,,,46,100%,0,0%,4,17%,
48,2021,2022-01-02,16,17,24.308,ATL,@,BUF,L 15-29,*,,,,,,,53,100%,0,0%,3,16%,
49,2021,2022-01-09,17,18,24.315,ATL,,NOR,L 20-30,*,,,,,,,50,100%,0,0%,4,15%,
50,2022,2022-09-11,1,1,25.195,ATL,,NOR,L 26-27,*,,,,,,,75,100%,0,0%,7,22%,
51,2022,2022-09-18,2,2,25.202,ATL,@,LAR,L 27-31,*,0.0,0,1,1,0,0,61,100%,0,0%,4,17%,
52,2022,2022-09-25,3,3,25.209,ATL,@,SEA,W 27-23,*,,,,,,,57,100%,0,0%,5,20%,
53,2022,2022-10-02,4,4,25.216,ATL,,CLE,W 23-20,*,,,,,,,55,100%,0,0%,5,19%,
54,2022,2022-10-09,5,5,25.223,ATL,@,TAM,L 15-21,*,,,,,,,66,100%,0,0%,2,9%,
55,2022,2022-10-16,6,6,25.230,ATL,,SFO,W 28-14,*,,,,,,,58,100%,0,0%,4,18%,
56,2022,2022-10-23,7,7,25.237,ATL,@,CIN,L 17-35,*,,,,,,,47,100%,0,0%,3,12%,
57,2022,2022-10-30,8,8,25.244,ATL,,CAR,W 37-34,*,,,,,,,67,100%,0,0%,7,20%,
58,2022,2022-11-06,9,9,25.251,ATL,,LAC,L 17-20,*,,,,,,,61,100%,0,0%,4,17%,
59,2022,2022-11-10,10,10,25.255,ATL,@,CAR,L 15-25,*,,,,,,,63,100%,0,0%,3,10%,
60,2022,2022-11-20,11,11,25.265,ATL,,CHI,W 27-24,*,0.0,1,0,1,0,0,55,100%,0,0%,5,19%,
61,2022,2022-11-27,12,12,25.272,ATL,@,WAS,L 13-19,*,,,,,,,57,100%,0,0%,4,17%,
62,2022,2022-12-04,13,13,25.279,ATL,,PIT,L 16-19,*,,,,,,,54,100%,0,0%,4,16%,
63,2022,2022-12-18,14,15,25.293,ATL,@,NOR,L 18-21,*,,,,,,,74,100%,0,0%,2,9%,
64,2022,2022-12-24,15,16,25.299,ATL,@,BAL,L 9-17,*,,,,,,,71,100%,0,0%,3,14%,
65,2022,2023-01-01,16,17,25.307,ATL,,ARI,W 20-19,*,,,,,,,62,100%,0,0%,4,16%,
66,2022,2023-01-08,17,18,25.314,ATL,,TAM,W 30-17,*,,,,,,,64,94%,0,0%,6,21%,
67,2023,2023-09-10,1,1,26.194,ATL,,CAR,W 24-10,*,,,,,,,52,100%,0,0%,0,0%,
68,2023,2023-09-17,2,2,26.201,ATL,,GNB,W 25-24,*,,,,,,,82,100%,0,0%,0,0%,
69,2023,2023-09-24,3,3,26.208,ATL,@,DET,L 6-20,*,,,,,,,67,100%,0,0%,0,0%,
70,2023,2023-10-01,4,4,26.215,ATL,@,JAX,L 7-23,*,,,,,,,58,100%,0,0%,0,0%,
