Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,22.332,ATL,,PHI,L 6-32,,,,,,,,,,,,,,9,13%,0,0%,2,8%,
2,2021,2021-09-19,2,2,22.339,ATL,@,TAM,L 25-48,,,,,,,,,,,,,,0,0%,0,0%,3,10%,
3,2021,2021-09-26,3,3,22.346,ATL,@,NYG,W 17-14,,,,,,,,,,,,,,0,0%,0,0%,3,13%,
4,2021,2021-10-03,4,4,22.353,ATL,,WAS,L 30-34,,,,,,,,,,,,,,0,0%,0,0%,4,15%,
5,2021,2021-10-10,5,5,22.360,ATL,,NYJ,W 27-20,,,,,,,,,,,,,,0,0%,0,0%,5,21%,
6,2021,2021-10-24,6,7,23.009,ATL,@,MIA,W 30-28,,,,,,,,,,,,,,0,0%,0,0%,6,21%,
7,2021,2021-10-31,7,8,23.016,ATL,,CAR,L 13-19,,,,,,,,,,,,,,0,0%,0,0%,4,15%,
8,2021,2021-11-07,8,9,23.023,ATL,@,NOR,W 27-25,,,,,,,,,,,,,,0,0%,0,0%,5,19%,
9,2021,2021-11-14,9,10,23.030,ATL,@,DAL,L 3-43,,,,,,,,,,,,,,12,22%,0,0%,1,4%,
10,2021,2021-11-18,10,11,23.034,ATL,,NWE,L 0-25,,,,,,,,,,,,,,0,0%,0,0%,2,8%,
11,2021,2021-11-28,11,12,23.044,ATL,@,JAX,W 21-14,,,,,,,,,,,,,,20,33%,0,0%,4,18%,
12,2021,2021-12-05,12,13,23.051,ATL,,TAM,L 17-30,,,,,,,,,,,,,,26,37%,0,0%,3,12%,
13,2021,2021-12-12,13,14,23.058,ATL,@,CAR,W 29-21,,,,,,,,,,,,,,0,0%,0,0%,5,22%,
14,2021,2021-12-19,14,15,23.065,ATL,@,SFO,L 13-31,,,,,,,,,,,,,,1,2%,0,0%,3,13%,
15,2021,2021-12-26,15,16,23.072,ATL,,DET,W 20-16,,,,,,,,,,,,,,0,0%,0,0%,4,17%,
