Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,21.195,CIN,@,IND,W 34-23,*,0,0,0.0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,82,100%,6,21%,
2,2018,2018-09-13,2,2,21.199,CIN,,BAL,W 34-23,*,0,0,0.0,3,0,3,0,0,1,21,0,1,0,0,0,0,0,0,0,0%,84,99%,1,3%,
3,2018,2018-09-23,3,3,21.209,CIN,@,CAR,L 21-31,*,0,0,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,99%,0,0%,
4,2018,2018-09-30,4,4,21.216,CIN,@,ATL,W 37-36,*,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,0,0%,
5,2018,2018-10-07,5,5,21.223,CIN,,MIA,W 27-17,*,0,0,0.0,4,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,58,91%,3,10%,
6,2018,2018-10-14,6,6,21.230,CIN,,PIT,L 21-28,*,0,0,0.0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,95%,2,7%,
7,2018,2018-10-21,7,7,21.237,CIN,@,KAN,L 10-45,*,0,0,0.0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,8,30%,
8,2018,2018-10-28,8,8,21.244,CIN,,TAM,W 37-34,*,1,6,0.0,4,2,6,0,0,1,21,1,2,0,0,0,0,0,0,0,0%,88,100%,0,0%,
9,2018,2018-11-11,9,10,21.258,CIN,,NOR,L 14-51,*,0,0,0.0,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,1,4%,
10,2018,2018-11-18,10,11,21.265,CIN,@,BAL,L 21-24,*,0,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,79,100%,0,0%,
