Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,ATL,,CAR,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,,ATL,,GNB,W 25-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2023,2023-09-24,3,3,,ATL,@,DET,L 6-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2023,2023-10-01,4,4,,ATL,@,JAX,L 7-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-08,5,5,,ATL,,HOU,W 21-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-15,6,6,,ATL,,WAS,L 16-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2023,2023-10-22,7,7,,ATL,@,TAM,W 16-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-10-29,8,8,,ATL,@,TEN,L 23-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2023,2023-11-05,9,9,,ATL,,MIN,L 28-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2023,2023-11-12,10,10,,ATL,@,ARI,L 23-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2023,2023-11-26,11,12,,ATL,,NOR,W 24-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2023,2023-12-03,12,13,,ATL,@,NYJ,W 13-8,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2023,2023-12-10,13,14,24.267,ATL,,TAM,L 25-29,,0,0%,0,0%,1,3%,
14,2023,2023-12-17,14,15,,ATL,@,CAR,L 7-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2023,2023-12-24,15,16,,ATL,,IND,W 29-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2023,2023-12-31,16,17,,ATL,@,CHI,L 17-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2023,2024-01-07,17,18,,ATL,@,NOR,L 17-48,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2024,2024-09-08,1,1,,ATL,,PIT,L 10-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2024,2024-09-16,2,2,,ATL,@,PHI,W 22-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2024,2024-09-22,3,3,,ATL,,KAN,L 17-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-29,4,4,,ATL,,NOR,W 26-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2024,2024-10-03,5,5,,ATL,,TAM,W 36-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2024,2024-10-13,6,6,,ATL,@,CAR,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2024,2024-10-20,7,7,,ATL,,SEA,L 14-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-10-27,8,8,25.223,ATL,@,TAM,W 31-26,,0,0%,0,0%,2,7%,
26,2024,2024-11-03,9,9,,ATL,,DAL,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2024,2024-11-10,10,10,,ATL,@,NOR,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2024,2024-11-17,11,11,,ATL,@,DEN,L 6-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
