Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,24.198,ATL,@,MIN,L 12-28,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,43,58%,0,0%,0,0%,
2,2019,2019-09-15,2,2,24.205,ATL,,PHI,W 24-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,35,56%,0,0%,2,8%,
3,2019,2019-09-22,3,3,24.212,ATL,@,IND,L 24-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,60,100%,0,0%,4,18%,
4,2019,2019-09-29,4,4,24.219,ATL,,TEN,L 10-24,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,79,100%,0,0%,3,13%,
5,2019,2019-10-06,5,5,24.226,ATL,@,HOU,L 32-53,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,73,100%,0,0%,4,11%,
6,2019,2019-10-13,6,6,24.233,ATL,@,ARI,L 33-34,*,1,1,-3,-3.00,0,100.0%,-3.00,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,6,18%,
7,2019,2019-10-20,7,7,24.240,ATL,,LAR,L 10-37,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,55,100%,0,0%,3,9%,
8,2019,2019-10-27,8,8,24.247,ATL,,SEA,L 20-27,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,4,15%,
9,2019,2019-11-10,9,10,24.261,ATL,@,NOR,W 26-9,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,76,100%,0,0%,6,22%,
10,2019,2019-11-17,10,11,24.268,ATL,@,CAR,W 29-3,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,65,100%,0,0%,6,26%,
11,2019,2019-11-24,11,12,24.275,ATL,,TAM,L 22-35,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,85,100%,0,0%,4,12%,
12,2019,2019-11-28,12,13,24.279,ATL,,NOR,L 18-26,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,91,100%,0,0%,4,13%,
13,2019,2019-12-08,13,14,24.289,ATL,,CAR,W 40-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,69,100%,0,0%,8,24%,
14,2019,2019-12-15,14,15,24.296,ATL,@,SFO,W 29-22,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,67,100%,0,0%,3,10%,
15,2019,2019-12-22,15,16,24.303,ATL,,JAX,W 24-12,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,75,100%,0,0%,5,20%,
16,2019,2019-12-29,16,17,24.310,ATL,@,TAM,W 28-22,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,89,100%,0,0%,6,21%,
