Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,23.196,ATL,,CAR,W 24-10,*,,,,,,,52,100%,0,0%,4,15%
2,2023,2023-09-17,2,2,23.203,ATL,,GNB,W 25-24,*,,,,,,,82,100%,0,0%,6,22%
3,2023,2023-09-24,3,3,23.210,ATL,@,DET,L 6-20,*,,,,,,,67,100%,0,0%,3,11%
4,2023,2023-10-01,4,4,23.217,ATL,@,JAX,L 7-23,*,,,,,,,58,100%,0,0%,1,5%
5,2023,2023-10-08,5,5,23.224,ATL,,HOU,W 21-19,*,,,,,,,77,100%,0,0%,3,10%
6,2023,2023-10-15,6,6,23.231,ATL,,WAS,L 16-24,*,,,,,,,83,100%,0,0%,2,8%
7,2023,2023-10-22,7,7,23.238,ATL,@,TAM,W 16-13,*,,,,,,,65,100%,0,0%,4,19%
8,2023,2023-10-29,8,8,23.245,ATL,@,TEN,L 23-28,*,,,,,,,68,100%,0,0%,5,14%
9,2023,2023-11-05,9,9,23.252,ATL,,MIN,L 28-31,*,,,,,,,69,100%,0,0%,6,18%
10,2023,2023-11-12,10,10,23.259,ATL,@,ARI,L 23-25,*,,,,,,,71,100%,0,0%,3,12%
11,2023,2023-11-26,11,12,23.273,ATL,,NOR,W 24-15,*,,,,,,,62,100%,0,0%,4,17%
12,2023,2023-12-03,12,13,23.280,ATL,@,NYJ,W 13-8,*,,,,,,,68,100%,0,0%,3,11%
13,2023,2023-12-10,13,14,23.287,ATL,,TAM,L 25-29,*,,,,,,,72,100%,0,0%,5,16%
14,2023,2023-12-17,14,15,23.294,ATL,@,CAR,L 7-9,*,,,,,,,52,100%,0,0%,1,5%
15,2023,2023-12-24,15,16,23.301,ATL,,IND,W 29-10,*,,,,,,,63,98%,0,0%,8,29%
16,2023,2023-12-31,16,17,23.308,ATL,@,CHI,L 17-37,*,,,,,,,59,100%,0,0%,5,16%
17,2023,2024-01-07,17,18,23.315,ATL,@,NOR,L 17-48,*,0,0,0,0,0,0,61,100%,0,0%,3,9%
18,2024,2024-09-08,1,1,24.195,ATL,,PIT,L 10-18,*,,,,,,,56,100%,0,0%,2,8%
19,2024,2024-09-16,2,2,24.203,ATL,@,PHI,W 22-21,*,,,,,,,61,100%,0,0%,4,18%
20,2024,2024-09-22,3,3,24.209,ATL,,KAN,L 17-22,*,,,,,,,61,100%,0,0%,3,13%
21,2024,2024-09-29,4,4,24.216,ATL,,NOR,W 26-24,*,0,0,0,1,0,0,56,100%,0,0%,6,21%
22,2024,2024-10-03,5,5,24.220,ATL,,TAM,W 36-30,*,,,,,,,87,100%,0,0%,9,28%
23,2024,2024-10-13,6,6,24.230,ATL,@,CAR,W 38-20,*,,,,,,,70,100%,0,0%,6,22%
24,2024,2024-10-20,7,7,24.237,ATL,,SEA,L 14-34,*,,,,,,,35,48%,0,0%,2,8%
25,2024,2024-10-27,8,8,24.244,ATL,@,TAM,W 31-26,*,,,,,,,62,100%,0,0%,6,22%
26,2024,2024-11-03,9,9,24.251,ATL,,DAL,W 27-21,*,,,,,,,57,100%,0,0%,4,15%
27,2024,2024-11-10,10,10,24.258,ATL,@,NOR,L 17-20,*,,,,,,,78,100%,0,0%,6,22%
28,2024,2024-11-17,11,11,24.265,ATL,@,DEN,L 6-38,*,,,,,,,59,100%,0,0%,2,8%
