Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,ATL,,NOR,L 26-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2022,2022-09-18,2,2,22.156,ATL,@,LAR,L 27-31,,10,30,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,19,31%,0,0%,7,30%,
3,2022,2022-09-25,3,3,22.163,ATL,@,SEA,W 27-23,,6,25,4.17,0,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,37%,0,0%,6,24%,
4,2022,2022-10-02,4,4,22.170,ATL,,CLE,W 23-20,,10,84,8.40,0,1,1,20,20.00,0,100.0%,20.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,44%,0,0%,5,19%,
5,2022,2022-10-09,5,5,22.177,ATL,@,TAM,L 15-21,*,13,45,3.46,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,59%,0,0%,1,5%,
6,2022,2022-10-16,6,6,22.184,ATL,,SFO,W 28-14,*,15,51,3.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,57%,0,0%,0,0%,
7,2022,2022-10-23,7,7,22.191,ATL,@,CIN,L 17-35,*,16,50,3.13,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,62%,0,0%,0,0%,
8,2022,2022-10-30,8,8,22.198,ATL,,CAR,W 37-34,*,14,39,2.79,0,3,3,46,15.33,1,100.0%,15.33,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,40,60%,0,0%,1,3%,
9,2022,2022-11-06,9,9,22.205,ATL,,LAC,L 17-20,,10,99,9.90,0,1,1,24,24.00,0,100.0%,24.00,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,38%,0,0%,3,13%,
10,2022,2022-11-10,10,10,22.209,ATL,@,CAR,L 15-25,,8,20,2.50,0,3,3,-17,-5.67,0,100.0%,-5.67,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,48%,0,0%,0,0%,
11,2022,2022-11-20,11,11,22.219,ATL,,CHI,W 27-24,,8,55,6.88,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,55%,0,0%,2,7%,
12,2022,2022-11-27,12,12,22.226,ATL,@,WAS,L 13-19,,11,54,4.91,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,39%,0,0%,2,8%,
13,2022,2022-12-04,13,13,22.233,ATL,,PIT,L 16-19,*,10,52,5.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,52%,0,0%,0,0%,
14,2022,2022-12-18,14,15,22.247,ATL,@,NOR,L 18-21,*,17,139,8.18,1,1,1,-3,-3.00,0,100.0%,-3.00,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,
15,2022,2022-12-24,15,16,22.253,ATL,@,BAL,L 9-17,,18,74,4.11,0,5,4,43,10.75,0,80.0%,8.60,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,42,59%,0,0%,0,0%,
16,2022,2023-01-01,16,17,22.261,ATL,,ARI,W 20-19,,20,83,4.15,1,1,1,12,12.00,0,100.0%,12.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,55%,0,0%,2,8%,
17,2022,2023-01-08,17,18,22.268,ATL,,TAM,W 30-17,*,24,135,5.63,0,0,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,47,69%,0,0%,1,4%,
18,2023,2023-09-10,1,1,23.148,ATL,,CAR,W 24-10,,15,75,5.00,2,3,3,19,6.33,0,100.0%,6.33,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,29,56%,0,0%,0,0%,
19,2023,2023-09-17,2,2,23.155,ATL,,GNB,W 25-24,*,16,48,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,44%,0,0%,0,0%,
20,2023,2023-09-24,3,3,23.162,ATL,@,DET,L 6-20,,7,12,1.71,0,3,2,17,8.50,0,66.7%,5.67,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,30%,0,0%,0,0%,
21,2023,2023-10-01,4,4,23.169,ATL,@,JAX,L 7-23,,7,16,2.29,0,2,1,-4,-4.00,0,50.0%,-2.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,26%,0,0%,0,0%,
22,2023,2023-10-08,5,5,23.176,ATL,,HOU,W 21-19,,17,40,2.35,0,1,0,0,,0,0.0%,0.00,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,34,44%,0,0%,0,0%,
23,2023,2023-10-15,6,6,23.183,ATL,,WAS,L 16-24,,13,51,3.92,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,28%,0,0%,0,0%,
24,2023,2023-10-22,7,7,23.190,ATL,@,TAM,W 16-13,*,21,59,2.81,0,3,3,53,17.67,0,100.0%,17.67,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,51%,0,0%,0,0%,
25,2023,2023-10-29,8,8,23.197,ATL,@,TEN,L 23-28,,8,31,3.88,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,22%,0,0%,3,9%,
26,2023,2023-11-05,9,9,23.204,ATL,,MIN,L 28-31,,12,39,3.25,1,3,2,-9,-4.50,0,66.7%,-3.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,24,35%,0,0%,0,0%,
27,2023,2023-11-12,10,10,23.211,ATL,@,ARI,L 23-25,,9,31,3.44,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,27%,0,0%,1,4%,
28,2023,2023-11-26,11,12,23.225,ATL,,NOR,W 24-15,,10,64,6.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,29%,0,0%,0,0%,
29,2023,2023-12-03,12,13,23.232,ATL,@,NYJ,W 13-8,,8,26,3.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,16%,0,0%,0,0%,
30,2023,2023-12-10,13,14,23.239,ATL,,TAM,L 25-29,,9,40,4.44,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,21%,0,0%,0,0%,
31,2023,2023-12-17,14,15,23.246,ATL,@,CAR,L 7-9,*,14,45,3.21,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,50%,0,0%,2,11%,
32,2023,2023-12-24,15,16,23.253,ATL,,IND,W 29-10,,9,69,7.67,1,1,1,19,19.00,0,100.0%,19.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,13,20%,0,0%,3,11%,
33,2023,2023-12-31,16,17,23.260,ATL,@,CHI,L 17-37,,5,13,2.60,0,1,1,75,75.00,1,100.0%,75.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,11,19%,0,0%,8,25%,
34,2023,2024-01-07,17,18,23.267,ATL,@,NOR,L 17-48,,6,24,4.00,0,3,3,10,3.33,0,100.0%,3.33,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,30%,0,0%,14,44%,
35,2024,2024-09-08,1,1,24.146,ATL,,PIT,L 10-18,,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,18%,0,0%,4,16%,
36,2024,2024-09-16,2,2,24.154,ATL,@,PHI,W 22-21,,9,53,5.89,0,1,1,12,12.00,0,100.0%,12.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,21%,0,0%,13,59%,
37,2024,2024-09-22,3,3,24.160,ATL,,KAN,L 17-22,,7,32,4.57,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,21%,0,0%,6,25%,
38,2024,2024-09-29,4,4,24.167,ATL,,NOR,W 26-24,,8,60,7.50,0,2,2,20,10.00,0,100.0%,10.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,38%,0,0%,6,21%,
39,2024,2024-10-03,5,5,24.171,ATL,,TAM,W 36-30,,6,12,2.00,0,3,3,13,4.33,0,100.0%,4.33,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,36%,0,0%,1,3%,
40,2024,2024-10-13,6,6,24.181,ATL,@,CAR,W 38-20,,18,105,5.83,1,1,1,3,3.00,0,100.0%,3.00,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,29,41%,0,0%,1,4%,
41,2024,2024-10-20,7,7,24.188,ATL,,SEA,L 14-34,,5,36,7.20,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,23%,0,0%,10,38%,
42,2024,2024-10-27,8,8,24.195,ATL,@,TAM,W 31-26,,12,33,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,22,35%,0,0%,8,30%,
43,2024,2024-11-03,9,9,24.202,ATL,,DAL,W 27-21,,6,18,3.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,14,25%,0,0%,19,73%,
44,2024,2024-11-10,10,10,24.209,ATL,@,NOR,L 17-20,,11,59,5.36,0,0,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,18,23%,0,0%,17,63%,
45,2024,2024-11-17,11,11,24.216,ATL,@,DEN,L 6-38,,0,0,,0,1,1,-1,-1.00,0,100.0%,-1.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,7%,0,0%,18,69%,
