Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,TEN,@,MIA,L 20-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2018,2018-09-16,,2,,TEN,,HOU,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2018,2018-09-23,,3,,TEN,@,JAX,W 9-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2018,2018-09-30,,4,,TEN,,PHI,W 26-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2018,2018-10-07,,5,,TEN,@,BUF,L 12-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2018,2018-10-14,,6,,TEN,,BAL,L 0-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2018,2018-10-21,7,7,24.245,TEN,@,LAC,L 19-20,,0,0%,0,0%,4,17%,
8,2018,2018-11-05,,9,,TEN,@,DAL,W 28-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2018,2018-11-11,,10,,TEN,,NWE,W 34-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2018,2018-11-18,,11,,TEN,@,IND,L 10-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2018,2018-11-26,,12,,TEN,@,HOU,L 17-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2018,2018-12-02,,13,,TEN,,NYJ,W 26-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2018,2018-12-06,,14,,TEN,,JAX,W 30-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2018,2018-12-16,,15,,TEN,@,NYG,W 17-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2018,2018-12-22,,16,,TEN,,WAS,W 25-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2018,2018-12-30,,17,,TEN,,IND,L 17-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2019,2019-09-08,1,1,25.202,TEN,@,CLE,W 43-13,,0,0%,0,0%,7,21%,
18,2019,2019-09-15,2,2,25.209,TEN,,IND,L 17-19,,0,0%,0,0%,4,15%,
19,2019,2019-09-19,3,3,25.213,TEN,@,JAX,L 7-20,,14,18%,0,0%,1,4%,
20,2019,2019-09-29,,4,,TEN,@,ATL,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2019,2019-10-06,,5,,TEN,,BUF,L 7-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2019,2019-10-13,,6,,TEN,@,DEN,L 0-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2019,2019-10-20,,7,,TEN,,LAC,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2019,2019-10-27,,8,,TEN,,TAM,W 27-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2019,2019-11-03,,9,,TEN,@,CAR,L 20-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2019,2019-11-17,,11,,TAM,,NOR,L 17-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2019,2019-11-24,,12,,TAM,@,ATL,W 35-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2019,2019-12-01,,13,,TAM,@,JAX,W 28-11,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2019,2019-12-08,13,14,25.293,TAM,,IND,W 38-35,,2,3%,0,0%,3,10%,
30,2019,2019-12-15,14,15,25.300,TAM,@,DET,W 38-17,,0,0%,0,0%,7,23%,
31,2019,2019-12-21,,16,,TAM,,HOU,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2019,2019-12-29,,17,,TAM,,ATL,L 22-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2020,2020-09-13,1,1,,TAM,@,NOR,L 23-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,2020,2020-09-20,2,2,,TAM,,CAR,W 31-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2020,2020-09-27,3,3,,TAM,@,DEN,W 28-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2020,2020-10-04,4,4,,TAM,,LAC,W 38-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2020,2020-10-08,5,5,,TAM,@,CHI,L 19-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2020,2020-10-18,6,6,,TAM,,GNB,W 38-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2020,2020-10-25,7,7,,TAM,@,LVR,W 45-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2020,2020-11-02,8,8,,TAM,@,NYG,W 25-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2020,2020-11-08,9,9,,TAM,,NOR,L 3-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,2020,2020-11-15,10,10,26.271,TAM,@,CAR,W 46-23,,3,4%,0,0%,0,0%,
43,2020,2020-11-23,11,11,26.279,TAM,,LAR,L 24-27,,2,3%,0,0%,0,0%,
