Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-14,1,1,21.236,NYG,,PIT,L 16-26,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,68,100%,0,0%,2,8%,
2,2020,2020-09-20,2,2,21.242,NYG,@,CHI,L 13-17,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,65,100%,0,0%,4,18%,
3,2020,2020-09-27,3,3,21.249,NYG,,SFO,L 9-36,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,50,96%,0,0%,3,13%,
4,2020,2020-10-04,4,4,21.256,NYG,@,LAR,L 9-17,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,68,100%,0,0%,3,13%,
5,2020,2020-10-11,5,5,21.263,NYG,@,DAL,L 34-37,*,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,7,21%,
6,2020,2020-10-18,6,6,21.270,NYG,,WAS,W 20-19,,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,22,46%,0,0%,4,18%,
7,2020,2020-10-22,7,7,21.274,NYG,@,PHI,L 21-22,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,60,100%,0,0%,3,12%,
8,2020,2020-11-02,8,8,21.285,NYG,,TAM,L 23-25,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,74,100%,0,0%,3,11%,
9,2020,2020-11-08,9,9,21.291,NYG,@,WAS,W 23-20,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,68,88%,0,0%,5,19%,
10,2020,2020-11-15,10,10,21.298,NYG,,PHI,W 27-17,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,71,100%,0,0%,5,20%,
11,2020,2020-11-29,11,12,21.312,NYG,@,CIN,W 19-17,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,81,100%,0,0%,5,17%,
12,2020,2020-12-06,12,13,21.319,NYG,@,SEA,W 17-12,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,56,100%,0,0%,2,7%,
13,2020,2020-12-13,13,14,21.326,NYG,,ARI,L 7-26,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,49,100%,0,0%,1,3%,
14,2020,2020-12-20,14,15,21.333,NYG,,CLE,L 6-20,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,54,100%,0,0%,3,16%,
15,2020,2020-12-27,15,16,21.340,NYG,@,BAL,L 13-27,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,64,100%,0,0%,3,13%,
16,2020,2021-01-03,16,17,21.347,NYG,,DAL,W 23-19,*,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,58,100%,0,0%,4,13%,
17,2021,2021-09-12,1,1,22.233,NYG,,DEN,L 13-27,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,61,100%,0,0%,1,5%,
18,2021,2021-09-16,2,2,22.237,NYG,@,WAS,L 29-30,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,69,100%,0,0%,7,20%,
19,2021,2021-09-26,3,3,22.247,NYG,,ATL,L 14-17,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,70,100%,0,0%,2,9%,
20,2021,2021-10-03,4,4,22.254,NYG,@,NOR,W 27-21,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,63,100%,0,0%,4,16%,
21,2021,2021-10-10,5,5,,NYG,@,DAL,L 20-44,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2021,2021-10-17,6,6,22.268,NYG,,LAR,L 11-38,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,29,39%,0,0%,0,0%,
23,2021,2021-10-24,7,7,,NYG,,CAR,W 25-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2021,2021-11-01,8,8,,NYG,@,KAN,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2021,2021-11-07,9,9,,NYG,,LVR,W 23-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2021,2021-11-22,10,11,22.304,NYG,@,TAM,L 10-30,*,1,1,2,2.00,1,100.0%,2.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
27,2021,2021-11-28,11,12,22.310,NYG,,PHI,W 13-7,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,60,100%,0,0%,4,21%,
28,2021,2021-12-05,12,13,22.317,NYG,@,MIA,L 9-20,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,65,100%,0,0%,4,13%,
29,2021,2021-12-12,13,14,22.324,NYG,@,LAC,L 21-37,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,69,100%,0,0%,0,0%,
30,2021,2021-12-19,14,15,22.331,NYG,,DAL,L 6-21,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
31,2021,2021-12-26,15,16,22.338,NYG,@,PHI,L 10-34,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,76,100%,0,0%,2,6%,
32,2021,2022-01-02,16,17,22.345,NYG,@,CHI,L 3-29,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,56,100%,0,0%,1,4%,
33,2021,2022-01-09,17,18,22.352,NYG,,WAS,L 7-22,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,60,100%,0,0%,0,0%,
34,2022,2022-09-11,1,1,23.232,NYG,@,TEN,W 21-20,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,60,100%,0,0%,2,7%,
35,2022,2022-09-18,2,2,23.239,NYG,,CAR,W 19-16,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,73,100%,0,0%,5,17%,
36,2022,2022-09-26,3,3,23.247,NYG,,DAL,L 16-23,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,72,100%,0,0%,5,17%,
37,2022,2022-10-02,4,4,23.253,NYG,,CHI,W 20-12,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,65,100%,0,0%,5,17%,
38,2022,2022-10-09,5,5,23.260,NYG,@,GNB,W 27-22,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,61,100%,0,0%,5,19%,
39,2022,2022-10-16,6,6,23.267,NYG,,BAL,W 24-20,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,4,15%,
40,2022,2022-10-23,7,7,23.274,NYG,@,JAX,W 23-17,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,77,100%,0,0%,5,23%,
41,2022,2022-10-30,8,8,23.281,NYG,@,SEA,L 13-27,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,65,100%,0,0%,3,10%,
42,2022,2022-11-13,9,10,23.295,NYG,,HOU,W 24-16,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,69,100%,0,0%,4,13%,
43,2022,2022-11-20,10,11,23.302,NYG,,DET,L 18-31,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,76,100%,0,0%,2,8%,
44,2022,2022-11-24,11,12,23.306,NYG,@,DAL,L 20-28,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,64,100%,0,0%,4,17%,
45,2022,2022-12-04,12,13,23.316,NYG,,WAS,T 20-20,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,66,100%,0,0%,5,15%,
46,2022,2022-12-11,13,14,23.323,NYG,,PHI,L 22-48,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,52,81%,0,0%,2,6%,
47,2022,2022-12-18,14,15,23.330,NYG,@,WAS,W 20-12,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,63,100%,0,0%,4,16%,
48,2022,2022-12-24,15,16,23.336,NYG,@,MIN,L 24-27,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,69,100%,0,0%,4,14%,
49,2022,2023-01-01,16,17,23.344,NYG,,IND,W 38-10,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,53,84%,0,0%,7,29%,
50,2022,2023-01-08,17,18,,NYG,@,PHI,L 16-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2023,2023-09-10,1,1,24.231,NYG,,DAL,L 0-40,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,53,76%,0,0%,2,8%,
