Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,,1,,MIN,,ATL,W 28-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2019,2019-09-15,,2,,MIN,@,GNB,L 16-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2019,2019-09-22,,3,,MIN,,OAK,W 34-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2019,2019-09-29,,4,,MIN,@,CHI,L 6-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2019,2019-10-06,,5,,MIN,@,NYG,W 28-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2019,2019-10-13,,6,,MIN,,PHI,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2019,2019-10-20,,7,,MIN,@,DET,W 42-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2019,2019-10-24,,8,,MIN,,WAS,W 19-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2019,2019-11-03,,9,,MIN,@,KAN,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2019,2019-11-10,10,10,23.111,MIN,@,DAL,W 28-24,,0.5,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,7,10%,1,4%,
11,2019,2019-11-17,11,11,23.118,MIN,,DEN,W 27-23,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,19%,0,0%,
12,2019,2019-12-02,12,13,23.133,MIN,@,SEA,L 30-37,,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,11,15%,7,21%,
13,2019,2019-12-08,13,14,23.139,MIN,,DET,W 20-7,,,,,,,,,,,,0,,,0,0,0,0,0%,7,10%,1,4%,
14,2019,2019-12-15,14,15,23.146,MIN,@,LAC,W 39-10,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,31%,0,0%,
15,2019,2019-12-23,15,16,23.154,MIN,,GNB,L 10-23,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,22%,2,7%,
16,2019,2019-12-29,16,17,23.160,MIN,,CHI,L 19-21,*,1.0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,45,60%,4,16%,
17,2020,2020-09-13,1,1,24.053,MIN,,GNB,L 34-43,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,47%,7,27%,
18,2020,2020-09-20,2,2,24.060,MIN,@,IND,L 11-28,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,52%,6,24%,
19,2020,2020-09-27,3,3,24.067,MIN,,TEN,L 30-31,,,,,,,,,,,,0,,,0,0,0,0,0%,22,29%,7,19%,
20,2020,2020-10-04,4,4,24.074,MIN,@,HOU,W 31-23,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,31%,5,16%,
21,2020,2020-10-11,5,5,24.081,MIN,@,SEA,L 26-27,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,20%,3,12%,
22,2020,2020-10-18,6,6,24.088,MIN,,ATL,L 23-40,,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,38%,8,28%,
23,2020,2020-11-01,7,8,24.102,MIN,@,GNB,W 28-22,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,18%,2,11%,
24,2020,2020-11-08,8,9,24.109,MIN,,DET,W 34-20,,0.5,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,48%,5,17%,
25,2020,2020-11-16,9,10,24.117,MIN,@,CHI,W 19-13,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,22%,3,12%,
26,2020,2020-11-22,10,11,24.123,MIN,,DAL,L 28-31,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,27%,4,15%,
27,2020,2020-11-29,11,12,24.130,MIN,,CAR,W 28-27,,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,26%,7,24%,
28,2020,2020-12-06,12,13,24.137,MIN,,JAX,W 27-24,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,27%,4,12%,
29,2020,2020-12-13,13,14,24.144,MIN,@,TAM,L 14-26,,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,18,35%,5,23%,
30,2020,2020-12-20,14,15,24.151,MIN,,CHI,L 27-33,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,41%,6,21%,
31,2020,2020-12-25,15,16,24.156,MIN,@,NOR,L 33-52,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,55%,0,0%,
32,2020,2021-01-03,16,17,24.165,MIN,@,DET,W 37-35,,,,,,,,,,,,0,,,0,0,0,0,0%,35,60%,4,13%,
33,2021,2021-09-12,1,1,25.052,MIN,@,CIN,L 24-27,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,25%,0,0%,
34,2021,2021-09-19,2,2,25.059,MIN,@,ARI,L 33-34,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,21%,0,0%,
35,2021,2021-09-26,3,3,25.066,MIN,,SEA,W 30-17,,,,,,,,,,,,,,,,,,0,0%,8,15%,0,0%,
36,2021,2021-10-03,4,4,25.073,MIN,,CLE,L 7-14,,0.0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,56%,1,5%,
