Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,21.138,CAR,,LAR,L 27-30,*,0,0,0.0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,44,58%,7,20%,
2,2019,2019-09-12,2,2,21.142,CAR,,TAM,L 14-20,*,0,0,1.0,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,39,65%,11,37%,
3,2019,2019-09-22,3,3,21.152,CAR,@,ARI,W 38-20,*,0,0,1.0,4,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,75%,8,27%,
4,2019,2019-09-29,4,4,21.159,CAR,@,HOU,W 16-10,*,0,0,0.5,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,38,57%,7,28%,
5,2019,2019-10-06,5,5,21.166,CAR,,JAX,W 34-27,,1,6,1.0,2,1,3,0,1,0,0,0,0,0,0,1,1,56,1,0,0%,37,45%,8,24%,
6,2019,2019-10-13,6,6,21.173,CAR,@,TAM,W 37-26,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,33,41%,10,26%,
7,2019,2019-10-27,7,8,21.187,CAR,@,SFO,L 13-51,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,22,34%,6,19%,
8,2019,2019-11-03,8,9,21.194,CAR,,TEN,W 30-20,*,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,51,71%,3,10%,
9,2019,2019-11-10,9,10,21.201,CAR,@,GNB,L 16-24,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,5,22%,
10,2019,2019-11-17,10,11,21.208,CAR,,ATL,L 3-29,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,16,25%,4,17%,
11,2019,2019-11-24,11,12,21.215,CAR,@,NOR,L 31-34,,0,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,22,34%,11,35%,
12,2019,2019-12-01,12,13,21.222,CAR,,WAS,L 21-29,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,20%,7,21%,
13,2019,2019-12-08,13,14,21.229,CAR,@,ATL,L 20-40,,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,33,48%,7,21%,
14,2019,2019-12-15,14,15,21.236,CAR,,SEA,L 24-30,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,7,10%,15,54%,
15,2019,2019-12-22,15,16,21.243,CAR,@,IND,L 6-38,,0,0,1.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,24,38%,11,42%,
16,2019,2019-12-29,16,17,21.250,CAR,,NOR,L 10-42,,0,0,1.0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,31,45%,12,39%,
