Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,NYG,@,TEN,W 21-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2022,2022-09-18,2,2,21.285,NYG,,CAR,W 19-16,*,0.0,5,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0%,46,79%,12,40%,
3,2022,2022-09-26,3,3,21.293,NYG,,DAL,L 16-23,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,8,28%,
4,2022,2022-10-02,4,4,21.299,NYG,,CHI,W 20-12,,0.0,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0%,46,74%,17,57%,
5,2022,2022-10-09,5,5,21.306,NYG,@,GNB,W 27-22,,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,21,33%,14,54%,
6,2022,2022-10-16,6,6,21.313,NYG,,BAL,W 24-20,*,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,42,71%,7,27%,
7,2022,2022-10-23,7,7,21.320,NYG,@,JAX,W 23-17,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,32%,11,50%,
8,2022,2022-10-30,8,8,21.327,NYG,@,SEA,L 13-27,,,,,,,,,,,,,,,,,,0,0%,10,16%,12,40%,
9,2022,2022-11-13,9,10,21.341,NYG,,HOU,W 24-16,*,0.0,2,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,64,100%,8,27%,
10,2022,2022-11-20,10,11,21.348,NYG,,DET,L 18-31,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,58%,8,31%,
11,2022,2022-11-24,11,12,21.352,NYG,@,DAL,L 20-28,,,,,,,,,,,,,,,,,,0,0%,7,9%,0,0%,
12,2022,2022-12-04,12,13,21.362,NYG,,WAS,T 20-20,,,,,,,,,,,,,,,,,,0,0%,0,0%,6,18%,
13,2022,2022-12-11,13,14,22.004,NYG,,PHI,L 22-48,,,,,,,,,,,,,,,,,,0,0%,7,10%,9,29%,
14,2022,2022-12-18,14,15,22.011,NYG,@,WAS,W 20-12,,,,,,,,,,,,,,,,,,0,0%,0,0%,4,16%,
15,2022,2022-12-24,15,16,22.017,NYG,@,MIN,L 24-27,,,,,,,,,,,,,,,,,,0,0%,1,1%,5,17%,
16,2022,2023-01-01,16,17,,NYG,,IND,W 38-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2022,2023-01-08,17,18,22.032,NYG,@,PHI,L 16-22,*,0.0,5,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,73,100%,22,79%,
18,2023,2023-09-10,1,1,22.277,NYG,,DAL,L 0-40,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,10%,12,50%,
19,2023,2023-09-17,2,2,22.284,NYG,@,ARI,W 31-28,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,11%,15,54%,
20,2023,2023-09-21,3,3,22.288,NYG,@,SFO,L 12-30,,,,,,,,,,,,,,,,,,0,0%,1,1%,19,68%,
21,2023,2023-10-02,4,4,22.299,NYG,,SEA,L 3-24,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,15%,16,70%,
22,2023,2023-10-08,5,5,22.305,NYG,@,MIA,L 16-31,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,72%,21,81%,
23,2023,2023-10-15,6,6,22.312,NYG,@,BUF,L 9-14,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,23%,16,76%,
24,2023,2023-10-22,7,7,22.319,NYG,,WAS,W 14-7,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,22,76%,
25,2023,2023-10-29,8,8,22.326,NYG,,NYJ,L 10-13,,,,,,,,,,,,,,,,,,0,0%,5,8%,26,70%,
26,2023,2023-11-05,9,9,22.333,NYG,@,LVR,L 6-30,,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,30%,22,92%,
27,2023,2023-11-12,10,10,22.340,NYG,@,DAL,L 17-49,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,15%,26,84%,
28,2023,2023-11-19,11,11,22.347,NYG,@,WAS,W 31-19,,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,28%,24,83%,
29,2023,2023-11-26,12,12,22.354,NYG,,NWE,W 10-7,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,10%,18,78%,
30,2023,2023-12-11,13,14,23.004,NYG,,GNB,W 24-22,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,6,9%,21,78%,
31,2023,2023-12-17,14,15,23.010,NYG,@,NOR,L 6-24,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,15%,19,83%,
32,2023,2023-12-25,15,16,23.018,NYG,@,PHI,L 25-33,,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,36%,26,90%,
33,2023,2023-12-31,16,17,23.024,NYG,,LAR,L 25-26,,0.0,1,1,2,0,0,2,22,0,2,0,0,0,1,2,0,0,0%,46,74%,24,80%,
34,2023,2024-01-07,17,18,23.031,NYG,,PHI,W 27-10,*,1.0,6,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,20,77%,
35,2024,2024-09-08,1,1,23.276,NYG,,MIN,L 6-28,,0.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0%,9,16%,22,92%,
36,2024,2024-09-15,2,2,23.283,NYG,@,WAS,L 18-21,,,,,,,,,,,,,,,,,,0,0%,8,11%,20,95%,
37,2024,2024-09-22,3,3,23.290,NYG,@,CLE,W 21-15,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,25%,22,85%,
38,2024,2024-09-26,4,4,23.294,NYG,,DAL,L 15-20,,,,,,,,,,,,,,,,,,0,0%,0,0%,20,80%,
39,2024,2024-10-06,5,5,23.304,NYG,@,SEA,W 29-20,,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,47%,25,83%,
40,2024,2024-10-13,6,6,23.311,NYG,,CIN,L 7-17,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,8%,19,86%,
41,2024,2024-10-20,7,7,23.318,NYG,,PHI,L 3-28,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,32%,31,97%,
