Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.211,NYG,,MIN,L 6-28,*,0.0,5,1,6,1,0,1,1,0,1,0,0%,45,82%,10,42%,
2.0,2024.0,2024-09-15,2.0,2.0,,NYG,@,WAS,L 18-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3.0,2024.0,2024-09-22,3.0,3.0,23.225,NYG,@,CLE,W 21-15,,0.0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,7,27%,
4.0,2024.0,2024-09-26,4.0,4.0,23.229,NYG,,DAL,L 15-20,,,,,,,,,,,,0,0%,0,0%,15,60%,
5.0,2024.0,2024-10-06,5.0,5.0,23.239,NYG,@,SEA,W 29-20,,,,,,,,,,,,0,0%,5,9%,25,83%,
6.0,2024.0,2024-10-13,6.0,6.0,23.246,NYG,,CIN,L 7-17,,0.0,0,0,0,0,0,0,0,0,0,0,0%,2,4%,19,86%,
7.0,2024.0,2024-10-20,7.0,7.0,23.253,NYG,,PHI,L 3-28,,0.0,2,2,4,0,0,0,0,0,0,0,0%,12,18%,31,97%,
8.0,2024.0,2024-10-28,8.0,8.0,23.261,NYG,@,PIT,L 18-26,,,,,,,,,,,,0,0%,14,21%,26,87%,
9.0,2024.0,2024-11-03,9.0,9.0,23.267,NYG,,WAS,L 22-27,,0.0,0,1,1,0,0,0,0,0,0,0,0%,0,0%,18,82%,
10.0,2024.0,2024-11-10,10.0,10.0,,NYG,@,CAR,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11.0,2024.0,2024-11-24,11.0,12.0,23.288,NYG,,TAM,L 7-30,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,18,28%,10,50%,
