Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,,1,,NYG,@,DAL,L 17-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2019,2019-09-15,,2,,NYG,,BUF,L 14-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2019,2019-09-22,3,3,22.253,NYG,@,TAM,W 32-31,,5,3,82,27.33,0,60.0%,16.40,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,44%,0,0%,0,0%,
4,2019,2019-09-29,4,4,22.260,NYG,,WAS,W 24-3,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,44%,0,0%,0,0%,
5,2019,2019-10-06,5,5,22.267,NYG,,MIN,L 10-28,,5,4,62,15.50,1,80.0%,12.40,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,65%,0,0%,0,0%,
6,2019,2019-10-10,6,6,22.271,NYG,@,NWE,L 14-35,*,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,98%,0,0%,0,0%,
7,2019,2019-10-20,7,7,22.281,NYG,,ARI,L 21-27,*,2,2,28,14.00,0,100.0%,14.00,0,0,,0,4,87,21.75,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,6,21%,
8,2019,2019-10-27,8,8,22.288,NYG,@,DET,L 26-31,*,5,2,50,25.00,2,40.0%,10.00,0,0,,0,5,102,20.40,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,62,84%,0,0%,5,19%,
9,2019,2019-11-04,9,9,22.296,NYG,,DAL,L 18-37,*,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,93%,0,0%,1,3%,
10,2019,2019-11-10,10,10,22.302,NYG,@,NYJ,L 27-34,*,15,10,121,12.10,2,66.7%,8.07,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,
11,2019,2019-11-24,11,12,22.316,NYG,@,CHI,L 14-19,*,7,4,67,16.75,0,57.1%,9.57,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,85%,0,0%,0,0%,
12,2019,2019-12-01,12,13,22.323,NYG,,GNB,L 13-31,*,9,6,44,7.33,0,66.7%,4.89,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%,
13,2019,2019-12-09,13,14,22.331,NYG,@,PHI,L 17-23,,8,5,154,30.80,2,62.5%,19.25,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,42,81%,0,0%,0,0%,
14,2019,2019-12-15,14,15,22.337,NYG,,MIA,W 36-20,*,3,2,31,15.50,1,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,70%,0,0%,0,0%,
15,2019,2019-12-22,15,16,22.344,NYG,@,WAS,W 41-35,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,29%,0,0%,0,0%,
16,2019,2019-12-29,16,17,22.351,NYG,,PHI,L 17-34,,9,4,50,12.50,0,44.4%,5.56,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,
