Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1,2023,2023-09-10,1,1,,NYG,,DAL,L 0-40,Did Not Play
2,2023,2023-09-17,2,2,,NYG,@,ARI,W 31-28,Did Not Play
3,2023,2023-09-21,3,3,,NYG,@,SFO,L 12-30,Did Not Play
4,2023,2023-10-02,4,4,,NYG,,SEA,L 3-24,Did Not Play
5,2023,2023-10-08,5,5,,NYG,@,MIA,L 16-31,Did Not Play
6,2023,2023-10-15,6,6,,NYG,@,BUF,L 9-14,Did Not Play
7,2023,2023-10-22,7,7,,NYG,,WAS,W 14-7,Did Not Play
8,2023,2023-10-29,8,8,,NYG,,NYJ,L 10-13,Did Not Play
9,2023,2023-11-05,9,9,,NYG,@,LVR,L 6-30,Did Not Play
10,2023,2023-11-12,10,10,,NYG,@,DAL,L 17-49,Did Not Play
11,2023,2023-11-19,11,11,,NYG,@,WAS,W 31-19,Did Not Play
12,2023,2023-11-26,12,12,,NYG,,NWE,W 10-7,Did Not Play
13,2023,2023-12-11,13,14,,NYG,,GNB,W 24-22,Did Not Play
14,2023,2023-12-17,14,15,,NYG,@,NOR,L 6-24,Did Not Play
15,2023,2023-12-25,15,16,,NYG,@,PHI,L 25-33,Did Not Play
16,2023,2023-12-31,16,17,,NYG,,LAR,L 25-26,Did Not Play
17,2023,2024-01-07,17,18,,NYG,,PHI,W 27-10,Did Not Play
18,2024,2024-09-08,1,1,,NYG,,MIN,L 6-28,Did Not Play
19,2024,2024-09-15,2,2,,NYG,@,WAS,L 18-21,Did Not Play
20,2024,2024-09-22,3,3,,NYG,@,CLE,W 21-15,Did Not Play
21,2024,2024-09-26,4,4,,NYG,,DAL,L 15-20,Did Not Play
22,2024,2024-10-06,5,5,,NYG,@,SEA,W 29-20,Did Not Play
23,2024,2024-10-13,6,6,,NYG,,CIN,L 7-17,Did Not Play
24,2024,2024-10-20,7,7,,NYG,,PHI,L 3-28,Did Not Play
25,2024,2024-10-28,8,8,,NYG,@,PIT,L 18-26,Did Not Play
26,2024,2024-11-03,9,9,,NYG,,WAS,L 22-27,Did Not Play
27,2024,2024-11-10,10,10,,NYG,@,CAR,L 17-20,Did Not Play
28,2024,2024-11-24,11,12,,NYG,,TAM,L 7-30,Did Not Play
