Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.278,NYG,,MIN,L 6-28,*,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,24.0,44%,0.0,0%
2.0,2024.0,2024-09-15,2.0,2.0,23.285,NYG,@,WAS,L 18-21,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,16.0,22%,0.0,0%
3.0,2024.0,2024-09-22,3.0,3.0,23.292,NYG,@,CLE,W 21-15,,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0%,21.0,31%,0.0,0%
4.0,2024.0,2024-09-26,4.0,4.0,23.296,NYG,,DAL,L 15-20,,,,,,,,,,,,,,0.0,0%,15.0,27%,0.0,0%
5.0,2024.0,2024-10-06,5.0,5.0,23.306,NYG,@,SEA,W 29-20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,24.0,41%,0.0,0%
6.0,2024.0,2024-10-13,6.0,6.0,23.313,NYG,,CIN,L 7-17,,,,,,,,,,,,,,0.0,0%,13.0,25%,0.0,0%
7.0,2024.0,2024-10-20,7.0,7.0,23.32,NYG,,PHI,L 3-28,,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,24.0,36%,0.0,0%
8.0,2024.0,2024-10-28,8.0,8.0,23.328,NYG,@,PIT,L 18-26,,,,,,,,,,,,,,0.0,0%,12.0,18%,6.0,20%
9.0,2024.0,2024-11-03,9.0,9.0,23.334,NYG,,WAS,L 22-27,,,,,,,,,,,,,,0.0,0%,8.0,13%,0.0,0%
10.0,2024.0,2024-11-10,10.0,10.0,23.341,NYG,@,CAR,L 17-20,,,,,,,,,,,,,,0.0,0%,5.0,8%,4.0,13%
11.0,2024.0,2024-11-24,11.0,12.0,23.355,NYG,,TAM,L 7-30,,,,,,,,,,,,,,0.0,0%,4.0,6%,5.0,25%
