Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-10-11,5,5,22.121,PHI,@,PIT,L 29-38,,,,,,,,,,,,0,0%,0,0%,14,54%,
2,2020,2020-10-18,6,6,22.128,PHI,,BAL,L 28-30,,,,,,,,,,,,0,0%,2,3%,16,50%,
3,2020,2020-12-20,14,15,22.191,PHI,@,ARI,L 26-33,,,,,,,,,,,,0,0%,2,3%,9,30%,
4,2020,2020-12-27,15,16,22.198,PHI,@,DAL,L 17-37,,,,,,,,,,,,0,0%,0,0%,13,42%,
5,2020,2021-01-03,16,17,22.205,PHI,,WAS,L 14-20,,,,,,,,,,,,0,0%,0,0%,13,52%,
6,2021,2021-09-12,1,1,,PHI,@,ATL,W 32-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2021,2021-09-19,2,2,,PHI,,SFO,L 11-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2021,2021-09-27,3,3,,PHI,@,DAL,L 21-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2021,2021-10-03,4,4,,PHI,,KAN,L 30-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2021,2021-10-10,5,5,,PHI,@,CAR,W 21-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2021,2021-10-14,6,6,,PHI,,TAM,L 22-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2021,2021-10-24,7,7,23.134,PHI,@,LVR,L 22-33,,,,,,,,,,,,0,0%,0,0%,8,33%,
13,2021,2021-10-31,8,8,,PHI,@,DET,W 44-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2021,2021-11-07,9,9,,PHI,,LAC,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2021,2021-11-14,9,10,,NYJ,,BUF,L 17-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2021,2021-11-21,10,11,23.162,NYJ,,MIA,L 17-24,*,0.0,2,4,6,0,0,0,0,0,0,0,0%,64,89%,1,4%,
17,2021,2021-11-28,11,12,23.169,NYJ,@,HOU,W 21-14,*,0.0,3,2,5,1,0,0,0,0,0,0,0%,45,79%,0,0%,
18,2021,2021-12-05,12,13,23.176,NYJ,,PHI,L 18-33,*,1.0,6,1,7,0,1,0,0,0,0,0,0%,63,89%,0,0%,
19,2021,2021-12-12,13,14,23.183,NYJ,,NOR,L 9-30,*,0.0,4,6,10,0,0,0,0,0,0,0,0%,68,97%,1,3%,
20,2021,2021-12-19,14,15,23.190,NYJ,@,MIA,L 24-31,*,0.0,3,3,6,0,0,0,0,0,1,0,0%,32,45%,0,0%,
21,2021,2021-12-26,15,16,,NYJ,,JAX,W 26-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2021,2022-01-02,16,17,23.204,NYJ,,TAM,L 24-28,*,0.0,3,3,6,1,0,0,0,0,0,0,0%,62,84%,0,0%,
23,2021,2022-01-09,17,18,23.211,NYJ,@,BUF,L 10-27,*,0.0,2,3,5,1,0,0,0,0,0,0,0%,52,63%,0,0%,
24,2022,2022-09-11,1,1,,PIT,@,CIN,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2022,2022-09-18,2,2,,PIT,,NWE,L 14-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2022,2022-09-22,3,3,,PIT,@,CLE,L 17-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2022,2022-10-02,4,4,,PIT,,NYJ,L 20-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2022,2022-10-09,5,5,,PIT,@,BUF,L 3-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2022,2022-10-16,6,6,24.126,PIT,,TAM,W 20-18,,0.0,1,0,1,0,0,0,0,0,0,0,0%,9,13%,0,0%,
30,2022,2022-10-23,7,7,,PIT,@,MIA,L 10-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2022,2022-10-30,8,8,,PIT,@,PHI,L 13-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2022,2022-11-13,9,10,,PIT,,NOR,W 20-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2022,2022-11-20,10,11,,PIT,,CIN,L 30-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2022,2022-11-28,11,12,,PIT,@,IND,W 24-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2022,2022-12-04,12,13,,PIT,@,ATL,W 19-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,2022,2022-12-11,13,14,,PIT,,BAL,L 14-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,2022,2022-12-18,14,15,,PIT,@,CAR,W 24-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,2022,2022-12-24,15,16,24.195,PIT,,LVR,W 13-10,,0.0,1,2,3,0,0,0,0,0,0,0,0%,10,19%,7,32%,
39,2022,2023-01-01,16,17,24.203,PIT,@,BAL,W 16-13,,,,,,,,,,,,0,0%,1,2%,9,39%,
40,2022,2023-01-08,17,18,24.210,PIT,,CLE,W 28-14,,0.0,1,0,1,0,0,0,0,0,0,0,0%,0,0%,9,41%,
41,2023,2023-09-10,1,1,25.090,PIT,,SFO,L 7-30,,0.0,0,1,1,0,0,0,0,0,0,0,0%,0,0%,17,65%,
42,2023,2023-09-18,2,2,25.098,PIT,,CLE,W 26-22,,1.0,1,0,1,1,1,0,0,0,0,0,0%,10,11%,23,75%,
43,2023,2023-09-24,3,3,25.104,PIT,@,LVR,W 23-18,,,,,,,,,,,,0,0%,0,0%,20,69%,
44,2023,2023-10-01,4,4,25.111,PIT,@,HOU,L 6-30,,0.0,0,1,1,0,0,0,0,0,0,0,0%,0,0%,17,68%,
45,2023,2023-10-08,5,5,25.118,PIT,,BAL,W 17-10,,,,,,,,,,,,0,0%,0,0%,20,80%,
46,2023,2023-10-22,6,7,25.132,PIT,@,LAR,W 24-17,,,,,,,,,,,,0,0%,0,0%,18,69%,
47,2023,2023-10-29,7,8,25.139,PIT,,JAX,L 10-20,,,,,,,,,,,,0,0%,0,0%,18,69%,
48,2023,2023-11-02,8,9,25.143,PIT,,TEN,W 20-16,,,,,,,,,,,,0,0%,0,0%,16,67%,
49,2023,2023-11-12,9,10,25.153,PIT,,GNB,W 23-19,,0.0,2,1,3,1,0,0,0,0,0,0,0%,21,31%,19,66%,
50,2023,2023-11-19,10,11,25.160,PIT,@,CLE,L 10-13,,0.0,0,3,3,0,0,0,0,0,0,0,0%,9,12%,11,38%,
51,2023,2023-11-26,11,12,,PIT,@,CIN,W 16-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2023,2023-12-03,12,13,,PIT,,ARI,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,2023,2023-12-07,13,14,,PIT,,NWE,L 18-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,2023,2023-12-16,14,15,,PIT,@,IND,L 13-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2023,2023-12-23,15,16,25.194,PIT,,CIN,W 34-11,,0.0,1,0,1,0,0,0,0,0,0,0,0%,3,5%,11,46%,
56,2023,2023-12-31,16,17,25.202,PIT,@,SEA,W 30-23,,0.0,1,1,2,0,0,0,0,0,0,0,0%,7,14%,7,25%,
57,2023,2024-01-06,17,18,25.208,PIT,@,BAL,W 17-10,,,,,,,,,,,,0,0%,0,0%,19,70%,
58,2024,2024-09-08,1,1,,NYG,,MIN,L 6-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,2024,2024-09-15,2,2,,NYG,@,WAS,L 18-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2024,2024-09-22,3,3,,NYG,@,CLE,W 21-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2024,2024-09-26,4,4,,NYG,,DAL,L 15-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2024,2024-10-06,5,5,,NYG,@,SEA,W 29-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2024,2024-10-13,6,6,,NYG,,CIN,L 7-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,2024,2024-10-20,7,7,,NYG,,PHI,L 3-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,2024,2024-10-28,8,8,,NYG,@,PIT,L 18-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,2024,2024-11-03,9,9,,NYG,,WAS,L 22-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,2024,2024-11-10,10,10,,NYG,@,CAR,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,2024,2024-11-24,11,12,,NYG,,TAM,L 7-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
