Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2012,2012-10-14,,6,,GNB,@,HOU,W 42-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2012,2012-10-21,,7,,GNB,@,STL,W 30-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2012,2012-10-28,,8,,GNB,,JAX,W 24-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2012,2012-11-04,,9,,GNB,,ARI,W 31-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2012,2012-11-18,10,11,22.266,GNB,@,DET,W 24-20,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,19%,
6,2012,2012-11-25,11,12,22.273,GNB,@,NYG,L 10-38,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,7,27%,
7,2012,2012-12-02,12,13,22.280,GNB,,MIN,W 23-14,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,7,25%,
8,2012,2012-12-09,13,14,22.287,GNB,,DET,W 27-20,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,5,9%,0,0%,10,37%,
9,2012,2012-12-16,14,15,22.294,GNB,@,CHI,W 21-13,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,5,7%,0,0%,5,18%,
10,2012,2012-12-23,15,16,22.301,GNB,,TEN,W 55-7,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,8,10%,0,0%,10,30%,
11,2012,2012-12-30,16,17,22.308,GNB,@,MIN,L 34-37,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,13,41%,
12,2013,2013-09-08,1,1,23.194,GNB,@,SFO,L 28-34,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,10,29%,
13,2013,2013-09-15,2,2,23.201,GNB,,WAS,W 38-20,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,32%,
14,2013,2013-09-22,3,3,23.208,GNB,@,CIN,L 30-34,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,12,40%,
15,2013,2013-10-06,,5,,GNB,,DET,W 22-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2013,2013-10-13,,6,,GNB,@,BAL,W 19-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2013,2013-10-20,,7,,GNB,,CLE,W 31-13,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
