Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.286,NWE,,PIT,W 33-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,35,17.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,13,50%,
2,2019,2019-09-15,2,2,22.293,NWE,@,MIA,W 43-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,9,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,59%,
3,2019,2019-09-22,3,3,22.300,NWE,,NYJ,W 30-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,8,44,5.50,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,7,9%,0,0%,19,54%,
4,2019,2019-09-29,4,4,22.307,NWE,@,BUF,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,6,21%,
5,2019,2019-10-06,5,5,22.314,NWE,@,WAS,W 33-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,49,16.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,8%,0,0%,17,53%,
6,2019,2019-10-10,6,6,22.318,NWE,,NYG,W 35-14,,3,2,34,17.00,0,66.7%,11.33,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,50,62%,0,0%,12,46%,
7,2019,2019-10-21,7,7,22.329,NWE,@,NYJ,W 33-0,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,24,12.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,18%,0,0%,6,24%,
8,2019,2019-10-27,8,8,22.335,NWE,,CLE,W 27-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,6,19%,
9,2019,2019-11-03,,9,,NWE,@,BAL,L 20-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2019,2019-11-17,,11,,NWE,@,PHI,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
